#BAM: /home/student5/project/mapping/mapping_2020_02_24/time_24h/mapped_ERR405233.sorted.bam Mapped Reads/million: 20.884485
#BAM: /home/student5/project/mapping/mapping_2020_02_24/time_24h/mapped_ERR405234.sorted.bam Mapped Reads/million: 24.389042
#BAM: /home/student5/project/mapping/mapping_2020_02_24/time_24h/mapped_ERR405235.sorted.bam Mapped Reads/million: 19.816820

    	mapped_ERR405233.sorted.bam	mapped_ERR405234.sorted.bam	mapped_ERR405235.sorted.bam	
rpsR	     20.581      14.491      35.072	     20.141      16.365      36.506	     16.599      11.952      28.551	
ydeW	      3.442       2.993       6.434	      4.655       4.356       9.012	      3.890       3.785       7.674	
rpsQ	     34.738     124.119     158.857	     46.951     164.330     211.281	     43.536     163.656     207.192	
ydeV	     10.881      10.250      21.131	     12.046      11.299      23.345	      7.919       7.349      15.269	
rpsP	     70.958      39.614     110.572	     87.273      49.235     136.509	     69.310      39.316     108.625	
rpsO	     49.301      57.104     106.405	     60.440      66.514     126.954	     35.884      44.108      79.992	
rpsN	    160.547     183.549     344.096	    186.385     214.926     401.311	    184.698     213.722     398.420	
rpsM	    152.768     164.973     317.741	    190.079     220.630     410.709	    173.013     184.321     357.334	
rpsL	     29.623      23.494      53.118	     37.613      29.084      66.697	     31.758      23.549      55.307	
glmU	     37.929      35.763      73.692	     46.266      43.604      89.869	     34.746      31.801      66.547	
rpsK	    144.138     143.647     287.786	    176.834     176.624     353.458	    168.854     170.536     339.391	
rpsJ	     77.962      66.299     144.261	     99.614      85.289     184.903	    105.776      90.897     196.673	
glmS	     26.715      29.017      55.732	     32.040      34.818      66.858	     24.955      27.106      52.062	
asnC	      6.676       6.885      13.561	      6.878       6.700      13.578	      6.157       5.827      11.983	
rpsI	     19.738      41.791      61.528	     24.622      57.486      82.108	     21.058      49.563      70.621	
asnB	     11.590      11.733      23.323	     12.091      11.944      24.035	     11.396      11.456      22.852	
rpsH	    100.517     114.772     215.288	    123.945     133.961     257.906	    124.165     132.511     256.677	
asnA	     29.511      28.450      57.960	     33.115      31.959      65.075	     28.509      27.340      55.849	
cds3278	      6.767       6.214      12.981	      6.524       6.123      12.647	      8.702       8.074      16.776	
rpsG	     25.619      25.720      51.339	     34.038      33.951      67.988	     29.892      30.106      59.997	
cds3277	      5.935       5.935      11.871	      5.609       5.899      11.508	      7.325       7.422      14.746	
rpsF	     14.993      11.729      26.722	     17.602      13.150      30.752	     17.076      14.017      31.093	
cds3276	      0.912       0.912       1.824	      1.074       1.334       2.408	      1.362       1.762       3.124	
rpsE	     97.760      93.770     191.530	    112.918     105.678     218.596	    127.657     118.346     246.003	
cds3275	      0.952       1.125       2.076	      0.630       0.593       1.222	      0.912       0.866       1.778	
rpsD	    118.511     126.761     245.272	    135.947     150.473     286.420	    149.193     150.330     299.523	
cds3274	      1.422       1.615       3.037	      1.079       1.383       2.462	      1.771       1.839       3.609	
rpsC	     63.434      64.798     128.232	     74.061      74.878     148.939	     82.235      85.757     167.992	
rpsB	    200.038     192.057     392.095	    235.790     237.484     473.274	    232.988     227.705     460.693	
rpsA	     65.502      66.103     131.605	     79.579      80.387     159.967	     74.638      75.060     149.698	
cds2187	      1.995       1.918       3.913	      2.234       2.234       4.468	      3.639       3.396       7.036	
trpS	      7.697       4.817      12.514	      9.785       6.268      16.053	      9.704       6.320      16.024	
trpR	     12.593       8.054      20.647	     15.924      12.163      28.087	     13.889       7.870      21.759	
cds2185	      0.885       0.922       1.806	      1.357       1.420       2.778	      1.865       1.865       3.729	
cds2183	      9.747       9.321      19.068	     10.694      10.590      21.283	      8.089       8.346      16.436	
cds1097	     40.509      33.917      74.426	     47.390      41.373      88.763	     36.018      30.990      67.009	
melR	     16.628      16.320      32.948	     17.447      17.491      34.937	     18.335      18.389      36.724	
pnuC	      4.589       3.059       7.648	      5.866       4.499      10.364	      4.345       3.504       7.850	
cds1093	    125.455     186.724     312.180	    148.430     229.406     377.836	     87.359     138.002     225.362	
tldD	      5.166       5.066      10.232	      7.571       7.429      15.000	      6.072       6.037      12.110	
cds1092	    156.696      95.226     251.922	    197.161     122.360     319.520	    116.836      71.488     188.324	
trpH	     12.106      10.695      22.801	     14.737      12.738      27.474	     12.873      11.443      24.316	
cds1090	      3.516       3.237       6.753	      3.584       3.393       6.977	      2.647       2.294       4.940	
trpE	      0.398       0.306       0.705	      0.341       0.367       0.708	      0.387       0.387       0.775	
trpD	      0.900       0.480       1.380	      0.822       0.283       1.105	      1.138       0.664       1.802	
trpC	      2.361       2.325       4.686	      3.832       3.651       7.482	      2.711       2.748       5.458	
trpB	      4.451       4.491       8.943	      5.082       5.014      10.096	      4.649       4.311       8.960	
trpA	      4.272       4.213       8.485	      5.690       5.792      11.483	      6.878       7.128      14.007	
melB	      1.640       1.439       3.078	      1.719       1.805       3.524	      1.234       1.199       2.433	
asmA	      8.303       8.277      16.580	     10.113      10.289      20.402	      9.103       9.674      18.777	
melA	      3.256       3.291       6.547	      4.849       4.667       9.516	      3.469       3.469       6.937	
cds2179	      0.077       0.077       0.153	      0.164       0.164       0.329	      0.000       0.040       0.040	
cds298	      3.868       4.194       8.062	      4.152       4.665       8.816	      3.961       4.363       8.324	
cds2178	      0.059       0.059       0.118	      0.101       0.202       0.304	      0.062       0.062       0.125	
mreD	      1.363       1.265       2.628	      2.083       1.833       3.917	      2.051       1.436       3.487	
mreC	      2.319       2.819       5.138	      3.349       3.894       7.243	      2.923       3.690       6.613	
mreB	      8.989      10.824      19.813	     11.900      14.335      26.235	     13.147      16.144      29.291	
cds294	      5.095       4.871       9.966	      7.572       8.342      15.913	      5.607       5.923      11.530	
cds1089	     47.049      48.523      95.573	     59.390      61.695     121.085	     39.451      41.140      80.591	
cds1088	      3.044       2.895       5.939	      3.412       3.242       6.654	      3.077       2.764       5.842	
cds1087	     17.709      18.230      35.940	     21.122      21.887      43.009	     18.977      19.330      38.307	
cds1086	      9.703       9.885      19.588	     11.105      11.182      22.287	     10.035      10.895      20.930	
cds1085	      6.749       3.749      10.498	     12.567       7.522      20.088	     11.854       6.548      18.401	
cds1084	     17.406      16.141      33.548	     22.899      21.094      43.993	     18.027      16.313      34.340	
cds1083	      2.990       2.424       5.415	      4.221       3.529       7.751	      3.790       3.364       7.154	
orn	     13.593      11.488      25.081	     18.098      15.995      34.093	     12.107      10.536      22.643	
pntB	     10.824      13.031      23.855	     12.457      15.143      27.600	      7.629       9.373      17.002	
cds1082	    115.303      48.708     164.011	    113.816      45.126     158.942	    109.480      51.622     161.102	
grxC	     19.191      12.351      31.542	     21.803      16.108      37.911	     15.019      11.815      26.833	
pntA	     19.998      18.934      38.932	     25.164      24.280      49.444	     14.677      14.182      28.859	
cds1081	    114.795     119.092     233.887	    115.252     130.891     246.144	    102.218      95.910     198.129	
grxB	    348.773     347.443     696.216	    361.109     360.350     721.458	    317.180     317.024     634.204	
cds1080	     92.725      48.072     140.797	    105.108      54.019     159.127	     67.483      29.236      96.719	
grxA	     44.618      30.289      74.907	     67.715      46.593     114.309	     31.348      23.129      54.476	
baeS	      4.843       4.502       9.345	      6.162       5.549      11.711	      5.643       5.212      10.854	
baeR	      9.338       8.411      17.749	     11.569      10.548      22.117	      9.492       8.794      18.286	
cds3252	      3.027      50.084      53.111	      1.650      80.355      82.004	      0.580      38.572      39.152	
cds286	      3.867       1.278       5.145	      4.715       2.161       6.876	      3.350       1.485       4.836	
mrdB	      2.581       1.592       4.173	      3.537       2.100       5.636	      2.312       1.133       3.446	
cds282	      8.533       6.599      15.132	     12.277       9.614      21.891	      8.228       6.590      14.818	
cds1078	      2.500       4.615       7.115	      4.281       8.069      12.350	      4.256       9.728      13.983	
cds1077	      5.664       6.693      12.357	      8.377       8.597      16.974	     11.937       8.953      20.890	
cds1076	      4.064       2.808       6.872	      5.695       4.366      10.061	      4.517       3.504       8.021	
cds2160	      1.535       1.074       2.609	      2.234       1.051       3.285	      2.426       2.588       5.014	
cds1075	     11.774      22.502      34.276	      9.410      26.438      35.849	      7.169      19.578      26.748	
cds1074	     13.586       5.276      18.863	     15.249       7.568      22.817	     11.816       5.422      17.238	
cds1073	     78.380      76.807     155.187	    100.163      98.751     198.914	     63.176      61.676     124.852	
dinP	      5.260       5.396      10.656	      5.941       5.514      11.454	      7.311       7.407      14.718	
cds1071	     16.268       0.921      17.189	     20.764       0.789      21.552	     23.937       0.970      24.908	
cds1070	     14.807      21.537      36.344	     13.173      22.559      35.733	     14.591      26.143      40.735	
fklB	      4.189       3.611       7.800	      5.751       5.319      11.070	      4.567       4.110       8.677	
dinI	      7.591       6.618      14.209	      9.834       8.167      18.001	      6.974       5.744      12.718	
dinF	     41.888      42.502      84.390	     48.825      49.815      98.640	     57.617      59.786     117.403	
trmU	      4.628       5.061       9.689	      6.630       6.297      12.927	      4.057       4.103       8.160	
cds2158	      1.517       1.809       3.326	      2.674       2.873       5.547	      0.861       0.923       1.784	
cds277	      2.918       1.230       4.148	      3.311       1.234       4.546	      2.186       0.815       3.001	
cds276	      1.821       2.732       4.553	      1.789       3.440       5.228	      1.806       2.766       4.572	
cds2155	      2.336       4.477       6.813	      4.000       3.834       7.834	      3.897       8.615      12.513	
mrcB	     10.685      11.140      21.825	     13.407      14.041      27.448	     10.540      11.460      22.001	
cds274	      6.781       6.416      13.196	      7.861       6.878      14.739	      8.795       7.036      15.831	
mrcA	      3.475       3.159       6.633	      4.248       3.739       7.987	      4.484       4.132       8.616	
cds273	      2.240       1.720       3.960	      2.740       2.398       5.138	      3.288       3.077       6.366	
cds1069	      7.839       7.275      15.115	     11.349      11.204      22.554	      6.716       6.776      13.492	
cds272	      1.260       1.418       2.678	      1.798       1.798       3.597	      2.269       2.324       4.593	
cds1068	      0.242       0.564       0.806	      1.173       1.035       2.209	      0.850       0.765       1.614	
cds2152	      0.404       2.828       3.233	      1.384       4.325       5.709	      0.852       4.045       4.897	
rpoZ	     96.806      95.418     192.224	    107.259     107.556     214.815	     92.880      86.115     178.994	
cds271	      4.586       2.935       7.522	      7.855       5.970      13.824	      4.254       3.867       8.120	
cds1066	      1.103       1.324       2.427	      1.134       1.197       2.330	      2.015       2.015       4.031	
cds2150	      3.474       5.755       9.229	      5.950       8.368      14.318	      4.920       7.323      12.244	
cds1065	      7.761       7.468      15.229	     11.787      12.037      23.824	      4.167       5.247       9.413	
cds1064	      1.985       1.647       3.631	      2.929       2.314       5.243	      1.958       1.735       3.693	
cds1063	      2.107       1.458       3.565	      2.706       1.318       4.024	      1.537       1.452       2.988	
cds1062	      1.320       1.260       2.580	      1.439       1.490       2.929	      1.644       1.454       3.099	
trmH	      4.094       4.372       8.466	      5.586       5.289      10.874	      4.900       5.266      10.166	
cds1061	      0.707       0.942       1.649	      1.059       1.160       2.219	      0.869       0.931       1.800	
rpoS	    483.799     502.911     986.710	    563.698     595.896    1159.594	    397.756     420.125     817.881	
cds1060	      1.763       2.203       3.966	      1.887       2.012       3.899	      2.167       2.786       4.953	
trmD	     44.952      39.653      84.605	     57.712      47.409     105.121	     46.783      42.118      88.900	
rpoN	     34.159      16.195      50.353	     54.641      28.164      82.805	     24.105      12.879      36.984	
trmA	     12.612       7.045      19.657	     18.583      10.167      28.750	     18.150      11.275      29.425	
pheT	     26.528      15.059      41.586	     31.850      16.174      48.025	     24.597      12.911      37.509	
pheS	      8.175       8.370      16.545	      7.875       7.792      15.667	      6.872       6.256      13.128	
pheP	      1.956       1.785       3.741	      2.822       2.116       4.938	      2.315       1.953       4.268	
rpoH	    785.328     882.885    1668.213	    981.459    1113.960    2095.419	   1022.877    1114.358    2137.236	
cds4321	    150.100     255.033     405.133	    167.207     313.767     480.974	    138.145     260.900     399.045	
pheM	      5.320      10.641      15.961	      0.000      15.490      15.490	      0.000       7.850       7.850	
rpoE	    533.440     275.740     809.180	    620.298     328.728     949.026	    712.165     384.249    1096.414	
rpoD	     64.543      67.900     132.443	     79.564      83.410     162.974	     67.486      71.838     139.324	
rpoC	     24.213      24.995      49.209	     33.314      34.188      67.502	     18.541      19.091      37.632	
cds2149	     12.459      11.381      23.840	     15.916      13.264      29.180	     16.253      14.975      31.228	
rpoB	     30.032      30.198      60.230	     40.982      41.409      82.391	     25.087      25.400      50.487	
rpoA	    117.094     130.879     247.973	    140.567     154.814     295.380	    140.275     157.503     297.778	
bacA	      5.767       4.893      10.660	      6.784       5.387      12.171	      6.078       5.095      11.173	
cds1059	      3.134       2.929       6.062	      3.887       3.511       7.398	      3.518       3.364       6.883	
cds2143	     44.262      38.010      82.272	     54.810      47.272     102.082	     48.988      45.000      93.988	
cds1058	     66.275     105.797     172.073	     79.271     118.971     198.242	     89.871     151.387     241.257	
cds1057	     21.191      27.142      48.333	     27.335      33.975      61.310	     23.093      29.745      52.838	
cds2141	    125.571      41.344     166.915	    143.095      45.942     189.037	    124.838      40.329     165.167	
pheA	     11.053      10.929      21.982	     13.667      13.102      26.770	     12.822      12.127      24.949	
cds1056	      7.980       7.338      15.319	     10.093       9.112      19.205	      7.540       7.250      14.791	
cds2140	     11.254       6.975      18.229	     12.275       7.988      20.263	     13.844       9.876      23.720	
tesB	     15.572      15.683      31.254	     17.334      17.287      34.621	     13.128      13.480      26.608	
cds1055	    334.539       3.831     338.369	    309.429       5.740     315.169	    301.764       4.710     306.474	
tesA	     19.464      19.309      38.773	     27.601      25.868      53.469	     16.328      15.836      32.165	
cds1054	   1913.671    1809.366    3723.037	   1679.081    1583.845    3262.925	   1726.964    1640.932    3367.896	
cds1053	     44.102     103.745     147.848	     44.059     128.041     172.101	     57.545      96.277     153.821	
mraY	      5.969       6.543      12.512	      6.966       7.383      14.349	      4.007       4.054       8.061	
cds1052	     72.584      19.381      91.965	     98.275      29.613     127.887	    114.541      19.224     133.765	
cds1051	     21.281      49.479      70.760	     35.080      46.925      82.004	     24.670      39.248      63.919	
cds1050	     39.370      85.656     125.026	     46.013     112.072     158.086	     37.006      61.115      98.121	
cds4319	      3.192       2.515       5.707	      4.804       3.645       8.449	      4.384       3.874       8.257	
icc	     33.599      59.448      93.047	     40.457      74.824     115.281	     28.583      53.327      81.910	
cds4318	     11.044       9.334      20.379	     11.471      10.006      21.477	     14.117      11.940      26.057	
cds3229	     29.296      26.461      55.758	     29.762      26.795      56.558	     24.346      22.133      46.478	
infC	    357.487     236.326     593.813	    455.100     321.598     776.698	    329.630     215.789     545.419	
infB	     11.993      12.154      24.147	     15.320      16.086      31.406	     14.730      15.615      30.345	
cds3224	     11.727      11.556      23.283	     13.177      12.933      26.110	     10.732      10.792      21.523	
infA	     13.774      17.054      30.828	     19.284      27.896      47.180	     20.507      23.964      44.471	
cds3221	      2.842       0.656       3.498	      3.370       3.183       6.553	      4.608       2.995       7.604	
cds3220	      0.870       0.870       1.740	      1.378       1.266       2.644	      1.054       0.779       1.833	
cds1049	     35.982      48.022      84.004	     45.798      62.822     108.619	     28.625      36.740      65.365	
cds1048	     19.538      66.320      85.858	     18.616      71.871      90.487	     14.791      45.822      60.613	
cds251	      5.836       7.875      13.711	      8.429      10.777      19.207	      7.114      10.300      17.414	
cds1047	      3.080       5.600       8.680	      4.556       4.076       8.632	      2.066       3.541       5.607	
cds250	      5.722       5.542      11.264	      7.750       7.581      15.331	      4.855       4.760       9.615	
cds1045	      5.197       0.742       5.939	      9.853       1.271      11.125	      3.912       0.391       4.303	
cds1044	      1.451       1.451       2.902	      1.739       1.988       3.727	      0.612       1.223       1.835	
trkH	      1.682       2.242       3.924	      2.316       3.106       5.422	      1.668       2.224       3.892	
vacJ	     22.864      23.941      46.806	     29.287      30.806      60.093	     20.492      22.161      42.653	
glgX	      4.362       4.411       8.772	      6.281       6.448      12.728	      3.801       4.032       7.833	
trkA	      3.060       3.408       6.468	      3.603       3.633       7.236	      2.895       2.968       5.863	
cds4306	     28.506      27.874      56.380	     41.223      41.100      82.324	     20.058      19.876      39.934	
glgS	     68.303      51.638     119.941	     71.352      60.498     131.850	     64.067      51.699     115.766	
rpmJ	    304.074     273.789     577.863	    435.252     387.592     822.844	    351.510     301.910     653.421	
cds3219	      0.788       0.394       1.182	      1.772       0.928       2.700	      0.623       0.415       1.038	
rpmI	    487.772     582.086    1069.858	    632.011     709.666    1341.677	    465.373     561.965    1027.339	
rpmH	     31.242      32.940      64.183	     44.201      46.527      90.728	     28.273      31.136      59.409	
cds3218	      0.513       0.482       0.996	      0.400       0.400       0.799	      0.443       0.443       0.885	
