#BAM: /home/student5/project/mapping/mapping_2020_02_24/time_24h/mapped_ERR405233.sorted.bam Mapped Reads/million: 20.884485
#BAM: /home/student5/project/mapping/mapping_2020_02_24/time_24h/mapped_ERR405234.sorted.bam Mapped Reads/million: 24.389042
#BAM: /home/student5/project/mapping/mapping_2020_02_24/time_24h/mapped_ERR405235.sorted.bam Mapped Reads/million: 19.816820

    	mapped_ERR405233.sorted.bam	mapped_ERR405234.sorted.bam	mapped_ERR405235.sorted.bam	
    	      Sense   Antisense       Total	      Sense   Antisense       Total	      Sense   Antisense       Total	
gltD	      1.114       1.080       2.193	      0.896       0.896       1.791	      1.494       1.600       3.094	
gltB	      0.805       0.859       1.664	      1.002       1.048       2.050	      0.837       0.837       1.674	
gltA	    667.147     735.875    1403.022	    810.333     889.239    1699.572	    531.307     588.961    1120.268	
yqeF	     11.575      11.290      22.865	     15.928      15.684      31.612	      7.148       7.233      14.381	
mesJ	      3.444       2.851       6.295	      4.757       3.456       8.213	      2.615       2.264       4.878	
phoU	      5.672       6.200      11.872	      7.003       8.189      15.192	      6.395       7.576      13.971	
astE	      0.593       0.445       1.038	      0.804       0.804       1.608	      0.885       0.781       1.666	
astD	      0.967       1.228       2.195	      1.338       1.816       3.154	      0.706       0.823       1.529	
phoR	      5.025       5.948      10.973	      6.770       8.479      15.249	      7.125       8.994      16.120	
astC	     12.254      11.863      24.117	     16.708      16.073      32.782	      9.171       8.678      17.849	
phoQ	     20.115      37.940      58.054	     29.603      52.821      82.424	     14.477      28.540      43.017	
astB	      0.499       0.534       1.033	      0.763       0.732       1.495	      0.488       0.413       0.901	
phoP	    147.620     127.545     275.164	    186.665     162.793     349.459	    113.185     100.326     213.511	
phoN	     21.175      20.476      41.651	     28.805      27.008      55.813	     17.625      15.413      33.038	
phoH	    136.087     168.009     304.095	    125.500     153.842     279.341	    123.824     158.115     281.939	
oadG	      0.000       0.197       0.197	      0.000       0.169       0.169	      0.000       0.623       0.623	
phoE	      4.365       2.092       6.457	      5.880       3.154       9.034	      4.792       2.444       7.236	
imp	     16.591      16.184      32.776	     23.295      22.320      45.616	     15.685      14.549      30.234	
assT	      1.172       1.279       2.451	      1.597       1.688       3.286	      1.741       1.713       3.454	
phoB	     15.128      14.573      29.701	     23.294      22.284      45.578	     21.721      20.258      41.979	
oadB	      0.000       0.000       0.000	      0.126       0.126       0.252	      0.155       0.116       0.271	
oadA	      0.054       0.054       0.108	      0.115       0.046       0.162	      0.028       0.028       0.057	
phnX	      0.650       0.946       1.596	      0.861       0.810       1.670	      0.498       0.436       0.934	
phnW	      1.301       1.171       2.472	      1.560       1.523       3.083	      1.234       1.143       2.377	
phnV	      0.363       0.363       0.725	      0.311       0.259       0.569	      0.765       0.573       1.338	
phnU	      0.440       0.495       0.936	      0.330       0.424       0.754	      0.116       0.232       0.348	
phnT	      2.157       2.416       4.573	      2.733       2.697       5.430	      1.864       2.319       4.182	
phnS	      1.086       0.850       1.936	      0.890       0.768       1.658	      1.344       1.045       2.389	
phnR	      2.527       2.527       5.054	      2.733       2.506       5.239	      3.434       2.874       6.308	
phnO	     12.151       9.782      21.933	     13.579      10.581      24.160	      8.139       6.077      14.216	
phnB	      1.294       1.510       2.804	      1.293       0.923       2.216	      1.477       1.364       2.841	
codB	      1.795       1.604       3.398	      1.896       1.439       3.335	      1.569       1.167       2.736	
phnA	     10.831      16.246      27.076	     11.593      19.769      31.362	      9.762      14.418      24.180	
codA	      2.168       2.280       4.448	      2.081       2.113       4.193	      2.285       2.206       4.491	
yqcC	      2.757       2.031       4.788	      3.479       2.609       6.088	      3.823       2.752       6.575	
yqcB	      2.507       2.446       4.953	      2.932       3.247       6.179	      2.771       3.158       5.929	
truB	      9.374       9.779      19.153	     11.151      11.324      22.475	      9.932      10.092      20.025	
truA	      3.828       4.182       8.010	      5.598       5.749      11.347	      6.579       7.138      13.717	
asrC	      2.031       2.267       4.297	      1.941       1.900       3.841	      1.642       1.493       3.135	
asrB	      1.462       1.228       2.689	      1.502       1.202       2.703	      1.047       0.678       1.725	
asrA	      1.422       1.376       2.798	      1.217       1.414       2.631	      1.353       1.402       2.755	
hmpA	     21.911      21.227      43.138	     22.584      22.033      44.617	     26.057      25.506      51.564	
valS	      5.348       5.516      10.864	      7.135       7.164      14.299	      4.152       4.099       8.251	
cbiT	      0.827       0.579       1.406	      0.921       0.850       1.770	      0.959       0.872       1.830	
ydhZ	      5.845       4.271      10.116	      7.315       3.850      11.165	      3.791       1.658       5.449	
cbiQ	      0.706       0.565       1.271	      1.512       1.089       2.600	      1.340       0.819       2.158	
cbiP	      1.794       1.857       3.652	      1.644       1.590       3.235	      1.825       2.123       3.948	
cbiO	      1.408       1.350       2.758	      1.809       2.211       4.020	      2.721       2.721       5.442	
cbiN	      1.358       2.038       3.396	      1.163       2.036       3.199	      0.716       1.968       2.684	
glpX	      2.392       2.131       4.523	      1.750       1.639       3.389	      2.933       2.383       5.317	
cbiL	      1.207       0.872       2.079	      1.493       0.976       2.469	      1.343       0.777       2.120	
cobU	      2.631       2.192       4.823	      3.755       3.079       6.834	      2.403       2.311       4.714	
cobT	      1.520       1.788       3.308	      2.412       2.756       5.168	      1.461       1.555       3.015	
cobS	      3.475       3.282       6.758	      3.858       3.692       7.550	      2.849       2.645       5.494	
cbiH	      0.396       0.528       0.923	      0.395       0.565       0.960	      0.278       0.487       0.765	
glpT	     23.360      21.457      44.817	     30.533      27.636      58.169	     16.524      15.150      31.673	
cbiG	      0.408       0.317       0.725	      0.466       0.349       0.815	      0.478       0.526       1.004	
glpR	      7.697       5.173      12.870	     11.723       7.617      19.340	      9.906       7.779      17.685	
cbiF	      0.680       0.619       1.299	      0.265       0.212       0.477	      0.391       0.326       0.717	
cbiE	      0.474       0.316       0.790	      0.406       0.338       0.744	      0.333       0.416       0.749	
glpQ	     19.090      21.192      40.282	     29.325      32.924      62.250	     13.381      15.219      28.600	
cbiD	      0.504       0.462       0.966	      0.540       0.540       1.079	      0.575       0.487       1.062	
mepA	      3.250       3.424       6.675	      4.175       4.324       8.499	      4.037       4.771       8.808	
cbiB	      0.648       0.599       1.247	      0.598       0.555       1.153	      0.315       0.368       0.683	
cbiA	      1.378       1.814       3.192	      1.611       2.244       3.856	      1.027       1.771       2.798	
glpK	      7.217       8.076      15.293	      8.903       9.937      18.840	      6.701       7.137      13.839	
ydhE	     15.752      14.741      30.493	     21.725      20.053      41.778	     13.368      12.744      26.113	
ydhD	    161.534     157.544     319.079	    173.787     169.781     343.569	    149.356     143.991     293.348	
glpG	      3.803       5.820       9.623	      4.095       5.872       9.967	      4.554       5.951      10.505	
ydhC	      3.851       3.851       7.702	      4.862       4.454       9.316	      3.515       3.515       7.030	
glpF	      8.094       7.980      16.074	     10.711       9.790      20.501	      6.442       6.203      12.645	
cobD	      1.837       3.936       5.772	      3.033       5.018       8.051	      1.336       3.456       4.793	
ydhB	      1.334       1.180       2.515	      1.274       0.879       2.153	      1.623       1.028       2.650	
glpE	     15.814       9.518      25.332	     16.802       9.530      26.332	     13.889       6.790      20.679	
cobC	      5.111       9.435      14.546	      5.723       8.887      14.610	      3.480       7.126      10.606	
ydhA	      6.948       4.882      11.830	     10.451       7.718      18.170	      8.905       7.124      16.029	
glpD	      5.553       5.045      10.598	      6.630       5.951      12.580	      6.956       6.019      12.975	
aspS	      7.400       7.130      14.529	      9.458       8.718      18.177	      7.457       7.286      14.743	
cobB	     13.010      11.065      24.075	     17.228      13.840      31.067	     10.743       8.693      19.436	
glpC	     62.034      65.049     127.083	     70.781      73.914     144.695	     47.200      50.377      97.577	
glpB	     27.855      26.335      54.191	     31.630      30.296      61.926	     23.108      22.388      45.496	
glpA	     53.203      52.027     105.230	     56.733      55.575     112.309	     42.470      41.850      84.320	
nfnB	     43.050      45.906      88.956	     52.224      57.177     109.401	     35.956      36.265      72.221	
ydgQ	      3.731       4.077       7.808	      4.319       4.201       8.520	      3.495       3.495       6.990	
aspC	     28.424      28.022      56.446	     40.623      39.935      80.558	     24.829      24.405      49.233	
cds3299	     10.578       9.889      20.467	     14.043      13.453      27.495	     10.686       9.763      20.449	
aspA	    229.982     229.016     458.998	    279.139     277.941     557.080	    168.874     169.191     338.065	
coaD	      8.379       8.379      16.759	     12.984      14.607      27.591	      9.882       9.041      18.923	
coaA	      1.712       1.611       3.323	      1.768       1.681       3.449	      1.433       1.486       2.918	
gloB	     10.577      11.084      21.661	     11.823      12.745      24.569	      7.943       8.277      16.220	
gloA	     40.489      40.137      80.626	     50.951      49.142     100.093	     37.847      36.857      74.704	
fkpB	     20.962      19.366      40.328	     23.690      21.959      45.649	     26.577      27.137      53.714	
fkpA	    161.537     165.513     327.050	    201.055     206.762     407.817	    226.618     231.177     457.795	
menG	    234.190     231.530     465.721	    262.548     261.282     523.830	    245.977     244.731     490.708	
menF	      1.810       2.734       4.544	      2.689       3.828       6.517	      2.025       2.648       4.672	
menE	      3.850       4.235       8.085	      5.035       5.365      10.400	      4.648       4.758       9.406	
glnS	     30.429      30.544      60.973	     48.966      48.794      97.761	     22.115      22.055      44.170	
menD	      1.204       1.060       2.264	      2.061       1.767       3.828	      1.268       1.178       2.446	
menC	      6.812       8.950      15.762	      8.388      11.240      19.628	      5.921       8.594      14.515	
glnQ	     12.385      14.835      27.219	     16.786      19.225      36.011	     10.679      12.773      23.451	
menB	     20.928      22.769      43.697	     27.239      28.768      56.007	     20.350      20.879      41.228	
menA	      3.244       3.450       6.693	      4.056       3.836       7.892	      3.907       3.635       7.542	
glnP	     14.365      17.267      31.631	     19.507      22.986      42.493	     10.704      12.692      23.396	
glnL	      3.785       3.739       7.524	      5.975       5.740      11.715	      4.758       4.758       9.516	
cds3282	      2.961       3.539       6.500	      3.587       4.947       8.534	      3.882       5.328       9.210	
glnK	      1.130       0.706       1.836	      0.847       0.847       1.693	      1.489       1.191       2.679	
cds2198	      1.884       2.221       4.104	      2.903       3.056       5.959	      1.797       2.131       3.928	
cds2197	      9.754       9.374      19.128	      9.762       9.871      19.633	      9.122       8.944      18.067	
glnH	     60.702      69.997     130.699	     75.637      86.670     162.307	     46.679      53.299      99.979	
glnG	      4.075       3.769       7.845	      4.973       5.147      10.120	      5.511       5.297      10.808	
glnE	      3.468       3.350       6.819	      4.527       4.599       9.126	      3.052       2.892       5.944	
cds2192	      2.531       1.963       4.494	      1.902       1.813       3.715	      1.960       1.851       3.811	
asnS	     49.250      48.737      97.986	     67.839      67.078     134.917	     40.449      39.837      80.286	
glnD	      5.374       5.446      10.820	      6.749       7.117      13.867	      4.644       5.041       9.685	
glnB	     35.312      32.910      68.222	     43.542      41.244      84.786	     31.111      28.431      59.542	
glnA	     54.810      43.604      98.414	     52.052      40.101      92.153	     52.538      42.016      94.554	
rpsV	     26.601      39.570      66.171	     26.480      46.697      73.177	     14.017      34.342      48.360	
ydeZ	      5.304       5.018      10.322	      6.711       5.811      12.522	      4.684       3.878       8.561	
rpsU	     55.641      39.680      95.322	     73.842      58.656     132.497	     53.032      31.772      84.805	
uspB	     16.531      16.388      32.919	     20.623      19.891      40.514	     19.224      19.224      38.447	
rpsT	     23.034      46.431      69.466	     31.217      64.299      95.516	     23.320      46.066      69.385	
rpsS	     87.527      60.754     148.281	     96.994      67.455     164.449	    108.521      76.326     184.847	
uspA	    555.216     638.102    1193.318	    503.335     574.971    1078.306	    467.616     528.403     996.019	
