#BAM: /home/student5/project/mapping/mapping_2020_02_24/time_30min/ERR405227.sorted.bam Mapped Reads/million: 38.542759
#BAM: /home/student5/project/mapping/mapping_2020_02_24/time_30min/ERR405228.sorted.bam Mapped Reads/million: 37.642071
#BAM: /home/student5/project/mapping/mapping_2020_02_24/time_30min/ERR405229.sorted.bam Mapped Reads/million: 31.734760

    	ERR405227.sorted.bam	ERR405228.sorted.bam	ERR405229.sorted.bam	
    	      Sense   Antisense       Total	      Sense   Antisense       Total	      Sense   Antisense       Total	
cds1604	     27.467      35.147      62.614	     36.342      39.743      76.085	     24.957      27.814      52.771	
cds1603	     22.169      26.148      48.317	     28.395      33.135      61.530	     20.120      23.670      43.790	
cds1602	      7.611      12.485      20.096	     10.337      16.455      26.791	      6.340      10.084      16.424	
cds1601	     14.313       7.409      21.722	     21.258       9.503      30.761	     12.009       6.327      18.335	
cds1600	     36.887      49.406      86.293	     45.255      65.265     110.521	     30.641      41.202      71.843	
alkB	      1.594       1.076       2.670	      1.592       1.265       2.857	      1.162       1.065       2.227	
alkA	      2.266       0.775       3.042	      2.351       0.916       3.267	      2.101       0.797       2.898	
osmE	     36.338      36.490      72.829	     50.413      50.646     101.060	     36.763      37.500      74.263	
osmC	     18.738       6.546      25.285	     23.737       7.195      30.932	     14.589       6.346      20.935	
osmB	     16.704      21.680      38.385	     16.740      23.291      40.031	     15.108      22.734      37.842	
hpt	     10.339       8.359      18.698	     11.725       9.053      20.778	      9.095       7.042      16.137	
cds809	     14.869      43.394      58.263	     12.273      49.714      61.987	      6.818      30.958      37.777	
lppB	      1.405       3.027       4.432	      3.321       3.210       6.531	      1.969       2.889       4.858	
lppA	    556.782     555.468    1112.250	    462.159     464.401     926.560	    347.687     345.559     693.246	
bcr	      5.228       3.137       8.365	      6.268       4.149      10.417	      4.551       2.937       7.488	
bcp	     77.836      75.467     153.303	     98.029     104.967     202.996	     69.044      68.575     137.619	
sdaC	     43.524      37.550      81.074	     55.644      47.901     103.546	     29.484      24.940      54.424	
sdaB	     13.333      20.673      34.006	     21.789      31.809      53.598	      9.490      14.374      23.864	
sdaA	      4.239       4.543       8.781	      5.917       6.053      11.969	      4.802       4.871       9.673	
hns	   1175.306    1173.363    2348.668	   1604.100    1601.084    3205.184	    959.873     957.742    1917.615	
pgpB	      4.850       3.392       8.241	      7.154       5.626      12.779	      4.655       3.460       8.115	
artQ	      6.731       6.333      13.063	      9.559       8.966      18.526	      5.669       5.186      10.855	
artP	     17.048      14.094      31.141	     21.829      16.654      38.482	     15.302      11.973      27.275	
artM	      6.981       8.183      15.164	      8.935      10.404      19.339	      6.594       7.442      14.036	
lctR	      1.937       1.970       3.907	      1.675       1.607       3.282	      1.582       1.622       3.204	
ypeB	      9.331       7.283      16.614	     12.234       8.622      20.857	     11.057       7.325      18.382	
artJ	      4.036       2.486       6.522	      4.944       2.767       7.712	      4.814       2.276       7.090	
rimL	     27.771      21.285      49.056	     31.584      23.417      55.001	     24.800      19.257      44.057	
artI	     16.978      19.565      36.543	     23.844      26.747      50.592	     16.789      18.984      35.773	
rimK	      1.753       2.643       4.396	      2.059       2.795       4.854	      2.478       2.687       5.165	
rimJ	     30.513      27.320      57.833	     37.964      33.015      70.979	     25.317      21.385      46.701	
rimI	      4.179       3.483       7.662	      5.111       4.457       9.569	      3.525       3.525       7.049	
bax	     77.332      71.137     148.470	     90.357      83.015     173.371	     86.894      80.630     167.525	
ugd	      8.737       8.604      17.341	     13.727      14.615      28.342	      7.804       7.534      15.337	
lctD	      1.656       1.634       3.289	      1.584       1.762       3.346	      1.323       1.191       2.513	
fdhF	      1.812       1.751       3.563	      1.954       2.016       3.970	      1.863       1.907       3.770	
fdhE	     30.297      29.572      59.869	     37.221      38.992      76.213	     32.121      29.072      61.193	
fdhD	     14.812      13.263      28.075	     18.702      16.984      35.686	     17.402      15.912      33.314	
pabC	     14.927      13.357      28.283	     17.120      14.923      32.043	     12.994      11.710      24.703	
pabB	      6.006       6.425      12.431	      7.921       8.077      15.998	      5.633       5.725      11.358	
pabA	      4.784       3.496       8.280	      7.772       5.935      13.707	      5.196       4.190       9.386	
lplA	     10.205      10.587      20.792	     13.740      13.819      27.559	     10.721      10.566      21.286	
yciC	     52.658      48.822     101.479	     66.665      59.738     126.403	     41.930      39.389      81.319	
yciA	      7.035       5.550      12.585	      7.996       6.080      14.076	      6.820       5.409      12.228	
caiT	      0.188       0.188       0.376	      0.315       0.333       0.648	      0.249       0.187       0.436	
queA	      1.218       1.316       2.534	      1.197       1.472       2.669	      1.006       1.213       2.219	
udp	     50.733      51.448     102.181	     59.965      62.441     122.406	     28.823      29.237      58.060	
udk	      6.426       3.799      10.225	      9.269       4.717      13.986	      5.939       3.436       9.375	
cds4295	      0.870       0.836       1.706	      1.165       1.182       2.347	      0.874       0.813       1.686	
cds4294	      0.721       0.871       1.592	      0.892       0.830       1.722	      0.985       1.021       2.006	
cds4293	      1.575       1.810       3.386	      1.442       1.613       3.055	      1.181       1.547       2.728	
caiF	      9.762      10.155      19.918	     11.136      11.673      22.809	      9.788       9.549      19.336	
cds4292	      1.160       1.111       2.271	      1.435       1.360       2.795	      1.438       1.203       2.641	
caiE	      2.043       0.956       2.999	      2.536       1.557       4.094	      2.481       1.320       3.800	
cds4291	      2.018       7.495       9.513	      1.181       9.741      10.922	      2.101       7.353       9.453	
caiD	      0.660       0.792       1.452	      0.946       0.676       1.622	      0.441       0.441       0.882	
caiC	      1.069       1.185       2.254	      1.231       1.299       2.530	      0.973       1.075       2.048	
caiB	      1.512       1.299       2.812	      1.789       1.767       3.555	      1.552       1.578       3.130	
caiA	      0.817       0.749       1.566	      1.418       1.232       2.650	      1.654       1.434       3.088	
cds4288	      3.619       4.648       8.267	      4.720       5.656      10.377	      4.350       4.720       9.069	
aldB	     30.092      29.587      59.679	     42.464      41.670      84.134	     24.243      24.017      48.260	
mdoH	      8.985      11.943      20.928	     11.905      16.374      28.279	      8.522      11.210      19.732	
mdoG	     44.475      41.046      85.521	     55.813      51.506     107.319	     40.066      36.948      77.014	
cds4285	      1.916       1.841       3.757	      2.169       2.065       4.234	      2.450       2.450       4.900	
cds4284	      0.657       0.985       1.642	      1.009       1.233       2.242	      0.665       0.798       1.463	
cds4283	      2.412       2.193       4.604	      3.792       3.617       7.409	      2.426       2.337       4.764	
cds3199	      0.763       0.890       1.653	      0.781       0.521       1.302	      0.618       0.309       0.927	
cds4282	      4.308       4.669       8.977	      5.690       5.892      11.583	      4.074       4.154       8.227	
mdoB	     32.635      30.858      63.493	     48.936      46.734      95.670	     24.761      23.675      48.435	
cds3198	      0.639       0.491       1.130	      0.453       0.503       0.956	      0.358       0.298       0.656	
cds4281	     11.079       8.309      19.388	     10.187       7.756      17.942	     11.190       8.170      19.360	
cds3197	      0.199       0.120       0.319	      0.204       0.204       0.408	      0.194       0.145       0.339	
cds4280	      3.848       2.276       6.124	      3.898       2.203       6.101	      5.176       3.417       8.594	
cds3196	      0.245       0.318       0.563	      0.401       0.376       0.778	      0.149       0.208       0.357	
cds3195	      0.280       0.280       0.560	      0.414       0.414       0.828	      0.340       0.264       0.605	
cds3194	      0.617       0.514       1.131	      0.707       0.571       1.278	      0.785       0.660       1.444	
cds3193	      1.150       0.850       2.000	      1.228       0.998       2.227	      1.457       1.275       2.732	
cds3192	    240.230     317.190     557.419	    289.645     381.246     670.891	    258.341     339.777     598.117	
cds3191	    237.448     187.770     425.218	    274.254     214.241     488.495	    253.019     197.367     450.386	
cds3190	     12.957       8.038      20.994	     15.538      11.390      26.928	     13.237       7.107      20.344	
aroQ	      0.713       0.665       1.378	      0.827       0.876       1.703	      0.462       0.404       0.866	
aroP	     11.979      13.985      25.964	     14.165      15.715      29.880	     11.768      13.446      25.214	
aroL	     14.256      10.739      24.995	     18.732      15.764      34.497	     15.929      13.043      28.972	
aroK	     27.585      25.200      52.785	     38.526      38.729      77.255	     28.070      26.320      54.390	
cds4279	      1.751       1.358       3.109	      1.500       1.464       2.964	      2.387       1.823       4.210	
aroH	      6.666       6.170      12.836	      8.805       9.084      17.888	      7.825       7.434      15.259	
cds4278	      5.661       5.690      11.351	      5.972       5.884      11.856	      4.319       4.423       8.742	
aroG	    101.391      99.543     200.934	    127.204     125.716     252.920	     88.728      87.830     176.558	
cds4277	      7.225       6.076      13.301	      9.808       8.463      18.271	      4.587       3.989       8.576	
aroF	     14.269      14.366      28.634	     17.860      18.108      35.967	     13.093      12.710      25.803	
nemA	      6.664       7.538      14.201	     10.065      10.452      20.517	      4.994       5.682      10.676	
aroE	     25.438      27.307      52.746	     38.049      41.844      79.893	     21.931      23.316      45.247	
aroD	     11.007       8.341      19.348	     13.861      10.220      24.081	     11.168       8.469      19.637	
aroC	      3.918       4.611       8.529	      4.354       5.651      10.005	      3.511       4.381       7.892	
nrfG	      1.713       1.003       2.716	      2.610       1.283       3.893	      1.167       0.660       1.827	
aroB	      8.768      10.697      19.465	     11.026      13.222      24.249	      9.838      12.182      22.020	
cds3189	     65.555      46.010     111.564	     67.301      41.709     109.009	     79.198      52.729     131.927	
cds3188	     67.540      18.944      86.484	     73.373      23.755      97.128	     84.863      26.176     111.039	
aroA	      7.113       7.638      14.751	     11.069      12.538      23.607	      5.252       5.890      11.142	
cds4271	     18.060      10.175      28.234	     25.654      13.674      39.328	     19.308      12.821      32.129	
cds3187	      0.398       0.440       0.838	      0.506       0.495       1.001	      0.522       0.587       1.109	
cds4270	     26.569      21.174      47.742	     32.784      27.593      60.377	     29.997      22.226      52.222	
nrfD	      0.407       0.380       0.786	      0.250       0.333       0.583	      0.461       0.494       0.955	
cds3186	      1.270       2.601       3.871	      1.548       2.818       4.366	      1.506       2.938       4.444	
nrfC	      1.235       2.278       3.513	      1.542       2.451       3.993	      1.266       1.735       3.001	
cds3185	      5.462      10.355      15.817	      5.942       9.904      15.846	      5.805      11.748      17.552	
nrfB	      2.105       1.510       3.615	      2.905       2.155       5.060	      2.390       1.945       4.335	
cds3184	      9.535       6.320      15.855	     10.785       7.834      18.619	     10.773       9.022      19.795	
nrfA	      0.776       2.383       3.160	      1.202       3.235       4.437	      0.789       1.820       2.609	
cds3183	      5.007       4.476       9.483	      5.904       5.904      11.807	      7.187       6.542      13.729	
cds3182	      4.728       9.110      13.837	      6.966      14.169      21.135	      7.143      12.604      19.747	
cds3180	     24.075      14.492      38.567	     28.840      16.275      45.114	     21.859      12.207      34.066	
cds4269	     64.221      93.334     157.555	     69.966     113.278     183.244	     72.382     110.445     182.827	
nth	      5.670       5.262      10.933	      9.064       7.310      16.374	      5.648       4.211       9.860	
cds4268	     94.502      43.242     137.744	    116.042      57.467     173.509	    112.915      52.847     165.762	
hha	    137.427     145.364     282.791	    149.206     141.564     290.771	    120.577     124.894     245.471	
cds4263	      2.328       2.254       4.583	      3.179       2.914       6.093	      1.796       1.616       3.411	
cds4262	      0.721       0.721       1.441	      0.369       0.553       0.922	      0.219       0.219       0.438	
cds3178	     47.990      70.713     118.704	     67.023     130.399     197.422	     21.831      36.660      58.491	
sprB	      4.221       4.496       8.717	      4.849       5.728      10.577	      6.836       6.961      13.797	
cds4261	      1.477       1.289       2.766	      1.238       1.458       2.695	      1.337       1.403       2.740	
cds3177	      3.203       3.277       6.480	      3.482       3.608       7.089	      3.322       3.292       6.613	
sprA	      5.931       5.522      11.453	      7.030       7.270      14.300	      6.494       6.529      13.023	
cds4260	      1.233       2.005       3.238	      1.433       2.417       3.850	      1.624       2.537       4.161	
cds3170	    186.906     117.504     304.409	    232.581     153.688     386.268	    204.519     125.263     329.782	
alaS	     13.066      14.792      27.858	     21.023      22.870      43.893	     12.025      13.546      25.571	
yceE	      3.459       3.481       6.940	      3.848       3.783       7.631	      2.983       2.827       5.809	
yceB	     51.352      52.553     103.905	     62.962      65.080     128.042	     47.392      48.247      95.639	
cds4259	      3.590       3.223       6.813	      3.404       2.987       6.391	      3.394       2.874       6.268	
cds4258	     14.275      12.984      27.259	     17.912      16.904      34.816	     13.907      12.844      26.751	
cds4257	      5.051       9.340      14.391	      3.826       9.280      13.106	      4.117       8.151      12.268	
cds4256	      6.409       5.328      11.737	      8.776       6.879      15.655	      5.533       4.080       9.613	
cds4255	      5.616       6.065      11.681	      8.510       8.050      16.561	      5.456       5.456      10.913	
nrdI	      0.505       0.442       0.947	      1.034       1.163       2.198	      0.613       0.997       1.610	
nrdH	      0.738       0.316       1.055	      1.080       0.648       1.728	      1.153       0.384       1.537	
cds4253	     18.724      13.558      32.282	     19.990      15.110      35.100	     21.007      16.085      37.092	
nrdG	     23.044      14.898      37.941	     25.423      15.654      41.077	     27.987      19.652      47.639	
cds3169	    151.423     214.389     365.812	    162.426     239.405     401.830	    156.358     221.868     378.226	
cds4252	     44.301      39.677      83.978	     56.168      53.638     109.806	     42.444      39.100      81.543	
nrdF	      3.973       4.162       8.135	      4.760       4.926       9.686	      4.628       4.628       9.256	
mdlB	      2.213       2.562       4.776	      2.862       3.101       5.963	      2.316       2.582       4.898	
cds4251	     31.271      28.095      59.366	     40.675      39.274      79.948	     36.496      29.968      66.464	
nrdE	      1.282       1.173       2.455	      1.350       1.214       2.564	      1.028       0.926       1.954	
mdlA	      3.527       3.688       7.214	      3.536       3.791       7.327	      3.395       3.483       6.878	
cds4250	      2.883       0.678       3.561	      4.167       2.084       6.251	      5.355       1.854       7.208	
nrdD	      2.074       1.807       3.881	      2.161       1.851       4.012	      1.930       1.650       3.580	
cds3165	      2.903       3.689       6.592	      2.849       3.777       6.626	      2.277       3.452       5.729	
cds3164	      1.186       1.534       2.720	      1.214       1.678       2.892	      0.889       1.144       2.033	
nrdB	      4.382       4.588       8.970	      6.037       6.577      12.614	      3.538       3.622       7.160	
cds3163	      2.056       2.233       4.289	      2.649       2.795       5.444	      1.808       1.851       3.659	
cds2079	      4.001       4.041       8.042	      5.835       6.662      12.497	      3.092       3.779       6.872	
nrdA	      3.314       3.223       6.537	      4.370       4.033       8.402	      2.495       2.385       4.880	
hydN	      0.760       0.808       1.568	      1.070       1.362       2.433	      0.981       0.750       1.731	
cds2075	      0.986       0.683       1.669	      0.621       0.777       1.398	      0.369       0.461       0.829	
cds2074	      0.951       0.995       1.946	      0.974       1.019       1.993	      0.591       0.618       1.209	
cds2073	      3.644       1.768       5.412	      3.926       2.311       6.238	      3.865       2.081       5.946	
wzxC	      1.737       1.579       3.316	      1.958       1.760       3.718	      1.300       1.278       2.578	
cds2072	     16.624      16.180      32.805	     17.325      16.774      34.099	     13.869      13.199      27.068	
hydH	      5.382       5.345      10.727	      7.240       7.772      15.012	      7.957       7.957      15.913	
hydG	      7.474       7.690      15.164	      9.737       9.877      19.614	      8.983       9.030      18.013	
cds4247	     10.324       6.701      17.024	     12.046       8.417      20.463	     10.220       6.719      16.938	
cds4246	     11.288       9.715      21.003	     13.111      11.040      24.151	     12.209      10.367      22.576	
cds4245	      5.007       4.381       9.388	      8.011       7.253      15.264	      4.354       3.766       8.120	
cds4244	      0.213       0.256       0.469	      0.349       0.567       0.916	      0.776       0.776       1.552	
cds4243	     16.995      10.559      27.554	     22.756      16.681      39.437	     14.290      11.114      25.404	
cds4242	     10.273      11.531      21.804	     13.030      15.264      28.295	      7.660       8.840      16.500	
cds4241	     20.263      20.120      40.383	     26.310      26.420      52.730	     17.492      17.145      34.636	
sppA	      7.880       7.642      15.522	     11.659      11.259      22.918	      6.618       6.363      12.981	
cds4240	      0.752       1.504       2.256	      1.540       2.310       3.850	      0.913       0.799       1.713	
cds3156	     18.263      20.221      38.484	     22.735      24.079      46.814	     18.239      20.315      38.554	
cadC	     18.355      18.909      37.264	     24.795      25.517      50.312	     14.970      15.501      30.471	
cadB	      4.948       4.986       9.934	      5.684       5.804      11.488	      7.073       7.097      14.171	
cadA	      4.173       4.197       8.370	      4.236       4.087       8.323	      3.496       3.467       6.963	
yccF	      6.907       5.804      12.711	      9.093       7.251      16.344	      7.754       6.697      14.451	
yccD	     12.718      22.808      35.526	     17.103      31.081      48.183	     13.799      21.625      35.424	
cds2064	     61.926      61.011     122.937	     74.046      75.255     149.302	     50.905      49.221     100.126	
hfQ	    199.669     197.066     396.735	    242.189     256.031     498.220	    155.720     144.809     300.529	
cds2063	     38.589      47.074      85.663	     47.023      57.279     104.302	     34.170      41.151      75.321	
hycI	      0.992       1.322       2.314	      1.974       1.861       3.835	      1.004       1.539       2.542	
spoT	     11.179      21.682      32.861	     14.000      25.069      39.069	      9.952      19.486      29.437	
hycH	      1.326       0.631       1.957	      1.422       0.711       2.133	      1.533       0.767       2.300	
hycG	      0.169       0.236       0.405	      0.346       0.346       0.692	      0.492       0.328       0.821	
hycF	      0.334       0.430       0.764	      0.245       0.391       0.636	      0.232       0.116       0.348	
hycE	      0.425       0.349       0.774	      0.637       0.637       1.274	      0.424       0.405       0.829	
hycD	      0.056       0.112       0.168	      0.173       0.144       0.316	      0.171       0.171       0.341	
hycC	      0.128       0.142       0.270	      0.276       0.291       0.567	      0.172       0.172       0.345	
hycB	      0.213       0.298       0.511	      0.262       0.174       0.436	      0.155       0.207       0.362	
hycA	      0.393       0.281       0.674	      0.518       0.518       1.035	      0.205       0.205       0.409	
cds4239	      0.355       0.563       0.918	      0.788       1.213       2.002	      0.468       0.899       1.367	
cds4238	      2.919       3.676       6.594	      5.424       5.756      11.180	      3.151       4.464       7.615	
cds4237	      8.648       8.696      17.344	      9.886      10.554      20.440	      7.639       7.610      15.250	
cds4236	      4.222       4.508       8.730	      5.129       5.380      10.509	      3.750       3.936       7.685	
cds4235	      1.232       1.204       2.435	      1.282       1.332       2.614	      1.370       1.412       2.781	
cds4234	      0.583       0.981       1.564	      0.628       1.162       1.790	      1.080       0.968       2.049	
cds4233	      2.809       6.135       8.944	      3.860       6.509      10.369	      3.052       6.105       9.157	
cds3149	      1.203       1.452       2.655	      1.699       1.826       3.525	      1.461       1.688       3.149	
cds4232	      8.154       4.818      12.973	      7.337       3.795      11.132	      7.203       4.802      12.004	
cds3148	      6.246       1.129       7.375	      5.141       1.500       6.642	      5.602       1.196       6.798	
ycbL	     32.792      38.437      71.229	     42.432      54.895      97.327	     32.095      38.319      70.414	
ycbC	      7.580       6.378      13.958	      9.402       7.932      17.335	      8.030       6.529      14.559	
ycbB	      6.739       7.399      14.138	      7.375       8.093      15.468	      6.855       6.991      13.846	
cds2051	      8.025       8.025      16.050	      9.653       9.733      19.386	      6.908       6.719      13.626	
hybG	      2.605       5.418       8.023	      2.561       6.081       8.642	      1.898       4.429       6.328	
pmrF	      8.200       8.886      17.086	     11.798      12.824      24.622	      5.348       5.828      11.176	
hybF	      4.779       3.945       8.724	      6.292       4.350      10.642	      4.238       4.146       8.385	
hybE	      2.706       3.502       6.208	      3.042       4.509       7.551	      2.900       2.835       5.735	
pmrD	    256.837     134.352     391.189	    319.513     161.867     481.380	    215.571     109.923     325.493	
hybD	      5.818       9.592      15.410	      7.245      10.573      17.818	      4.838       8.339      13.177	
lpdA	    234.888     237.958     472.846	    310.774     315.239     626.013	    200.321     202.329     402.650	
pmrB	      7.928       8.624      16.552	      9.126      10.134      19.260	      6.711       7.002      13.713	
hybC	      8.161       7.080      15.241	      9.572       8.450      18.022	      8.470       7.378      15.848	
pmrA	     15.823      14.039      29.862	     18.227      17.870      36.096	     13.707      12.011      25.718	
hybB	      1.584       1.276       2.861	      1.622       0.879       2.501	      1.844       1.363       3.207	
hybA	      3.549       3.706       7.255	      3.634       4.091       7.725	      3.863       3.863       7.726	
cds4229	      5.016       3.286       8.302	      8.324       3.542      11.866	      6.512       2.311       8.823	
cds4228	      2.760       2.944       5.704	      2.261       2.261       4.522	      2.011       3.576       5.587	
cds4227	      0.162       0.162       0.323	      0.331       0.166       0.497	      0.294       0.098       0.393	
cds4226	      0.228       0.341       0.569	      0.117       0.233       0.350	      0.138       0.000       0.138	
cds4224	      0.320       0.400       0.721	      0.738       0.820       1.558	      1.167       0.973       2.140	
cds4223	      1.085       1.115       2.200	      1.697       1.697       3.394	      1.025       1.061       2.086	
cds3139	      0.806       1.319       2.125	      0.901       1.276       2.176	      0.267       0.623       0.890	
cds4222	      2.162       1.513       3.676	      1.882       1.992       3.874	      0.788       1.444       2.232	
livM	      0.589       0.609       1.198	      0.540       0.624       1.164	      0.690       0.764       1.455	
cds3138	      6.020       3.870       9.891	      5.675       4.354      10.030	      7.602       6.093      13.695	
ycaM	      1.989       1.679       3.667	      2.223       2.036       4.260	      2.571       2.083       4.654	
cds4221	      1.052       1.419       2.471	      2.343       2.530       4.873	      1.334       1.223       2.556	
cds3137	      9.435       7.004      16.439	      9.807       7.465      17.272	     10.764       7.639      18.403	
cds4220	     16.361      14.912      31.272	     24.352      21.933      46.285	     12.859      12.074      24.933	
livK	      1.402       1.169       2.571	      1.723       2.082       3.805	      1.902       1.959       3.861	
cds3135	      2.492       1.612       4.104	      2.852       1.726       4.578	      2.670       2.136       4.807	
ycaJ	     13.146      16.833      29.980	     16.999      21.091      38.090	      9.636      13.481      23.118	
cds3134	      1.291       1.188       2.478	      1.573       1.480       3.053	      1.254       1.129       2.383	
ycaI	      1.317       1.123       2.440	      1.337       1.114       2.451	      1.224       1.002       2.226	
livH	      1.371       1.567       2.939	      1.060       1.261       2.321	      1.326       1.530       2.855	
livG	      0.642       0.777       1.419	      0.692       0.796       1.487	      0.903       1.026       1.928	
hyb0	     10.364      10.666      21.030	     13.556      13.651      27.207	     12.053      12.588      24.640	
cds2048	      2.051       2.051       4.102	      3.122       3.141       6.263	      1.953       1.953       3.905	
livF	      1.563       1.272       2.834	      1.786       1.265       3.051	      1.501       1.059       2.560	
cds2047	      6.997       8.900      15.897	      8.540      10.947      19.487	      7.546       8.838      16.384	
cds166	     30.236      33.006      63.241	     33.553      37.462      71.016	     27.203      29.706      56.909	
cds165	      9.018       3.349      12.366	     10.529       4.455      14.984	      8.038       2.786      10.824	
hcr	      1.762       1.949       3.710	      2.296       2.159       4.455	      2.140       2.237       4.377	
ycaD	      4.539       4.606       9.145	      6.081       6.127      12.208	      3.949       4.114       8.063	
cds162	     20.799      20.942      41.741	     25.249      25.322      50.571	     18.316      18.230      36.546	
cds2040	     10.891      14.414      25.305	     13.611      19.679      33.290	     10.958      14.394      25.352	
hyaF	      2.174       2.785       4.959	      3.652       4.303       7.955	      1.573       1.958       3.531	
hyaE	      4.293       3.093       7.386	      6.464       4.460      10.924	      3.220       2.990       6.210	
hyaD	      2.641       2.130       4.772	      3.533       2.792       6.325	      2.484       2.484       4.967	
hyaC	      2.313       1.957       4.271	      2.296       2.150       4.446	      2.291       2.075       4.366	
hyaA	      8.343       7.849      16.192	     10.107       9.457      19.564	      7.250       6.593      13.843	
cds4219	     11.523      10.968      22.491	     18.032      16.894      34.927	      7.746       6.690      14.435	
cds4218	     24.211      26.475      50.686	     37.148      41.144      78.292	     18.082      19.808      37.889	
cds4217	      4.796       5.800      10.595	      4.407       5.267       9.674	      4.978       6.198      11.176	
ribH	     25.119       9.365      34.483	     25.776      10.435      36.211	     21.743       8.162      29.906	
cds4216	      4.337       4.649       8.986	      6.090       6.648      12.738	      4.321       4.416       8.737	
cds4215	     10.254      11.954      22.208	     12.191      14.154      26.345	     12.424      14.461      26.885	
ribF	     17.435      13.981      31.416	     21.417      19.380      40.797	     22.585      18.893      41.478	
cds4214	     19.323      18.687      38.011	     22.247      22.199      44.446	     21.981      20.807      42.788	
ribE	     11.841      10.022      21.863	     14.524      11.421      25.945	      9.571       8.001      17.572	
cds4213	      7.705      10.467      18.172	     10.226      14.812      25.037	      6.544       8.899      15.443	
ribD	     18.307      24.911      43.219	     21.441      29.165      50.605	     15.270      21.321      36.592	
ribB	     92.951     138.414     231.365	    125.721     194.411     320.133	     82.006     125.756     207.762	
cds4210	      4.608       3.953       8.561	      5.188       4.584       9.772	      4.297       3.820       8.117	
ribA	     56.676      53.251     109.927	     68.775      64.954     133.729	     51.399      48.093      99.492	
cds3125	      1.017       1.074       2.091	      1.621       1.678       3.299	      1.579       1.304       2.883	
cds3124	      7.065      10.906      17.971	     10.206      16.330      26.536	      6.124       9.934      16.058	
cds159	      1.474       1.540       3.014	      2.314       2.583       4.897	      1.711       1.830       3.541	
cds158	      1.001       1.092       2.094	      1.212       0.746       1.957	      1.216       1.216       2.432	
cds152	      1.346       1.143       2.489	      1.624       1.359       2.983	      1.075       0.851       1.926	
cds151	      2.946       2.592       5.538	      3.659       3.827       7.487	      2.651       2.452       5.103	
cds2031	      0.858       0.770       1.628	      1.219       1.327       2.545	      1.127       1.042       2.169	
cds2030	     15.379      13.914      29.293	     21.531      18.675      40.206	     12.960      11.393      24.353	
scsD	      0.563       1.126       1.689	      1.310       1.939       3.249	      0.684       1.492       2.175	
scsC	      1.206       0.956       2.162	      1.362       0.937       2.299	      1.313       0.909       2.222	
scsB	      0.522       0.687       1.210	      0.619       0.957       1.577	      0.518       0.785       1.303	
scsA	      7.290       6.719      14.009	     10.173       9.660      19.833	      5.642       5.295      10.938	
cds4209	      9.704       8.900      18.604	     11.327      10.709      22.035	      8.794       7.695      16.488	
cds4208	      3.767       3.820       7.587	      4.509       4.183       8.692	      4.189       3.995       8.184	
cds4207	      3.326       4.491       7.817	      4.768       4.768       9.537	      3.636       5.656       9.292	
cds4205	     23.083      18.852      41.935	     32.809      28.222      61.032	     21.688      18.514      40.201	
cds4204	      1.394       0.749       2.143	      1.480       1.004       2.485	      1.286       0.847       2.132	
cds4203	      8.133       6.758      14.891	      9.383       9.090      18.473	      8.973       8.000      16.973	
waaZ	     12.300      11.755      24.055	     18.432      18.432      36.864	      9.531       9.648      19.179	
cds4202	      4.207       4.016       8.223	      5.331       5.070      10.400	      4.516       4.052       8.568	
waaY	      6.013       5.419      11.432	     12.352      10.566      22.917	      5.951       5.274      11.225	
cds4201	      1.557       1.752       3.309	      2.022       2.506       4.527	      1.250       1.824       3.073	
cds4200	      0.826       0.878       1.704	      0.925       0.978       1.903	      0.878       0.784       1.662	
cds3113	      5.836       2.870       8.706	      5.956       2.761       8.717	      5.100       2.831       7.930	
cds2029	      5.726       6.911      12.637	      9.341      11.079      20.420	      5.708       7.146      12.854	
cds2028	      4.588       4.282       8.871	      7.118       7.489      14.607	      4.526       4.526       9.051	
cds2027	      6.707       8.190      14.896	      7.554       9.867      17.422	      7.074       9.003      16.077	
uxuR	     70.461      67.813     138.274	     69.538      67.616     137.155	     74.381      72.712     147.093	
waaQ	      7.646       8.648      16.294	     10.729      12.192      22.921	      6.546       6.698      13.244	
cds2026	      2.948      12.383      15.331	      6.239      19.119      25.358	      4.058       7.878      11.936	
waaP	      7.185       7.055      14.241	     11.652      10.720      22.371	      6.121       5.805      11.925	
cds2025	     14.689      12.263      26.952	     21.974      19.210      41.184	     12.893      11.615      24.509	
cds2024	      6.409      11.197      17.606	      7.353      13.678      21.031	      6.002       9.097      15.099	
rbsR	      8.415      10.337      18.751	     10.797      14.227      25.024	      7.381       9.053      16.434	
cds2023	      3.291       4.167       7.458	      3.262       4.732       7.995	      3.572       4.635       8.207	
cds2022	      1.943       2.109       4.052	      2.281       2.184       4.464	      1.871       2.043       3.914	
argT	     57.192      57.026     114.219	     78.714      79.155     157.869	     51.271      51.150     102.421	
waaL	     22.849      24.728      47.577	     29.846      33.060      62.906	     16.184      17.454      33.638	
cds2021	      1.625       1.886       3.512	      2.348       2.764       5.111	      2.150       2.397       4.547	
argS	     23.147      23.192      46.339	     32.495      32.710      65.205	     18.263      18.191      36.454	
waaK	      8.399       9.124      17.523	     14.836      15.230      30.066	      8.112       8.441      16.553	
argR	     71.831      71.336     143.167	    112.807     113.653     226.460	     50.244      50.913     101.157	
cds140	     14.047      11.898      25.945	     16.526      14.016      30.542	     13.013      11.206      24.219	
