#BAM: /home/student5/project/mapping/mapping_2020_02_24/time_6h/mapped_ERR405230.sorted.bam Mapped Reads/million: 30.700644
#BAM: /home/student5/project/mapping/mapping_2020_02_24/time_6h/mapped_ERR405231.sorted.bam Mapped Reads/million: 30.864573
#BAM: /home/student5/project/mapping/mapping_2020_02_24/time_6h/mapped_ERR405232.sorted.bam Mapped Reads/million: 19.470339

    	mapped_ERR405230.sorted.bam	mapped_ERR405231.sorted.bam	mapped_ERR405232.sorted.bam	
    	      Sense   Antisense       Total	      Sense   Antisense       Total	      Sense   Antisense       Total	
nemA	      8.544       9.107      17.651	      9.885      10.741      20.626	      7.157       7.812      14.968	
aroE	     20.164      20.761      40.925	     27.573      30.501      58.074	     16.493      18.123      34.616	
aroD	      7.939       6.051      13.990	      9.818       6.275      16.093	      5.819       4.872      10.692	
aroC	      3.299       4.229       7.528	      3.878       4.803       8.682	      3.831       3.783       7.614	
nrfG	      2.098       1.154       3.252	      3.078       1.304       4.383	      2.150       1.406       3.556	
aroB	     10.289      12.084      22.373	     13.656      15.530      29.186	     10.046      11.932      21.978	
cds3189	    127.576      77.089     204.665	    125.818      75.923     201.742	    111.452      66.083     177.535	
cds3188	    142.699      38.088     180.787	    138.341      41.314     179.655	    123.101      31.251     154.352	
aroA	      4.642       5.378      10.020	      7.065       7.949      15.014	      3.040       3.160       6.200	
cds4271	     19.639      12.454      32.094	     25.411      17.312      42.723	     13.847       8.560      22.407	
cds3187	      0.661       0.742       1.403	      0.684       0.751       1.436	      0.744       0.787       1.531	
cds4270	     36.691      26.616      63.307	     45.434      34.092      79.526	     35.474      24.848      60.323	
nrfD	      0.477       0.579       1.055	      0.643       0.813       1.456	      0.644       0.644       1.288	
cds3186	      2.316       5.581       7.896	      2.945       5.966       8.912	      1.975       5.148       7.123	
nrfC	      2.472       3.732       6.204	      2.170       3.279       5.448	      1.987       2.904       4.891	
cds3185	     13.715      23.287      37.001	     13.926      26.573      40.500	     13.516      24.554      38.070	
nrfB	      3.504       2.700       6.204	      2.914       2.114       5.029	      2.265       1.540       3.804	
cds3184	     22.411      15.590      38.001	     25.754      21.046      46.799	     23.266      15.145      38.410	
nrfA	      1.111       2.289       3.400	      1.398       3.066       4.464	      1.072       1.930       3.002	
cds3183	     12.667      14.381      27.049	     14.400      11.747      26.147	     10.362      10.212      20.574	
cds3182	     18.385      28.374      46.760	     12.960      22.464      35.424	     14.381      24.881      39.262	
cds3180	     52.967      30.812      83.779	     52.394      31.962      84.356	     42.106      22.673      64.779	
cds4269	     83.850     119.863     203.713	    100.086     142.323     242.409	     83.905     118.145     202.051	
nth	      4.251       3.483       7.733	      6.368       5.502      11.870	      3.392       3.311       6.703	
cds4268	    120.111      57.341     177.453	    144.448      70.199     214.647	    119.484      55.997     175.481	
hha	    155.129     156.914     312.043	    194.546     192.326     386.872	    152.204     168.621     320.825	
cds4263	      2.923       2.923       5.846	      5.169       5.169      10.338	      3.658       3.512       7.170	
cds4262	      0.452       1.810       2.262	      0.450       0.900       1.350	      1.427       2.140       3.567	
cds3178	     34.276      63.655      97.931	     58.658     115.622     174.280	     13.763      35.583      49.346	
sprB	      7.281       8.315      15.597	      8.314       9.214      17.528	      8.628       8.968      17.596	
cds4261	      1.248       1.180       2.428	      1.643       1.476       3.119	      1.489       1.223       2.712	
cds3177	      5.537       5.382      10.919	      5.631       5.538      11.169	      4.682       4.682       9.365	
sprA	      9.464       9.574      19.037	     13.865      14.084      27.948	     11.221      10.874      22.094	
cds4260	      2.387       3.016       5.403	      3.078       4.043       7.122	      2.564       3.101       5.665	
cds3170	    269.105     176.861     445.967	    303.378     195.469     498.847	    258.357     166.248     424.606	
alaS	     11.613      13.482      25.095	     16.538      18.891      35.429	      9.331      11.068      20.400	
yceE	      2.520       2.413       4.933	      3.227       3.093       6.320	      2.409       2.283       4.692	
yceB	     38.339      38.911      77.250	     48.574      49.245      97.819	     36.206      36.042      72.248	
cds4259	      3.559       2.970       6.530	      3.872       3.337       7.208	      3.432       3.028       6.460	
cds4258	     13.799      12.589      26.388	     16.241      15.065      31.306	     10.792      10.142      20.934	
cds4257	      2.866       7.644      10.510	      4.320       9.504      13.824	      3.150       5.204       8.355	
cds4256	      7.222       5.817      13.039	     12.439       9.787      22.227	      5.732       4.815      10.547	
cds4255	      7.755       7.826      15.581	      9.538      11.922      21.459	      5.003       6.003      11.006	
nrdI	      1.189       0.872       2.061	      1.261       0.552       1.813	      0.750       0.500       1.250	
nrdH	      0.662       0.265       0.927	      0.527       0.000       0.527	      0.835       0.418       1.253	
cds4253	     27.484      21.213      48.698	     29.691      22.598      52.288	     29.042      23.392      52.434	
nrdG	     28.370      19.403      47.773	     27.871      18.882      46.753	     28.165      18.777      46.942	
cds3169	    174.387     263.629     438.016	    201.219     305.807     507.025	    155.582     242.384     397.966	
cds4252	     55.972      49.014     104.986	     64.094      58.319     122.413	     50.522      43.184      93.706	
nrdF	      5.157       5.395      10.552	      5.400       5.400      10.800	      4.815       4.922       9.737	
mdlB	      2.724       3.089       5.813	      3.782       4.164       7.945	      3.430       4.006       7.436	
cds4251	     37.296      38.032      75.328	     46.250      48.203      94.453	     37.142      36.948      74.090	
nrdE	      1.321       1.291       2.612	      1.480       1.329       2.809	      1.221       1.054       2.275	
mdlA	      4.409       5.034       9.443	      5.957       6.451      12.408	      4.838       4.142       8.980	
cds4250	      7.238       1.916       9.154	      6.565       2.753       9.318	      8.392       4.028      12.420	
nrdD	      2.650       2.193       4.842	      2.969       2.424       5.392	      2.833       2.473       5.306	
cds3165	      1.670       1.974       3.644	      2.341       2.190       4.531	      1.796       1.556       3.352	
cds3164	      0.832       1.051       1.883	      1.002       1.176       2.177	      1.035       1.105       2.140	
nrdB	      3.168       3.283       6.451	      4.383       4.555       8.938	      2.452       2.271       4.723	
cds3163	      1.424       1.691       3.115	      2.434       2.434       4.869	      1.824       1.684       3.508	
cds2079	      2.435       3.247       5.682	      3.835       4.391       8.226	      2.080       2.080       4.160	
nrdA	      2.921       2.807       5.728	      3.855       3.614       7.469	      2.696       2.629       5.325	
hydN	      1.372       1.193       2.565	      1.246       1.424       2.670	      1.599       1.317       2.916	
cds2075	      0.667       0.571       1.238	      0.568       0.474       1.042	      0.300       0.451       0.751	
cds2074	      0.778       0.666       1.444	      1.271       1.160       2.431	      0.919       0.744       1.664	
cds2073	      3.961       2.288       6.248	      3.940       2.309       6.249	      3.607       2.100       5.707	
wzxC	      1.938       1.828       3.766	      2.607       2.541       5.148	      1.875       1.875       3.750	
cds2072	     14.826      14.505      29.331	     16.645      15.889      32.534	     14.138      13.792      27.930	
hydH	      8.621       8.784      17.405	     10.406      10.730      21.136	      8.487       8.376      16.863	
hydG	     13.314      12.651      25.965	     13.365      13.536      26.902	     13.053      13.208      26.261	
cds4247	      9.684       7.043      16.726	      9.438       7.200      16.638	      8.868       6.478      15.346	
cds4246	     10.576       7.967      18.542	     12.553      11.431      23.984	      9.894       8.227      18.121	
cds4245	      6.250       5.572      11.822	      8.775       7.567      16.342	      5.744       4.899      10.644	
cds4244	      0.695       1.070       1.765	      1.117       1.064       2.181	      0.422       0.506       0.928	
cds4243	     12.373       7.196      19.569	     17.832      11.177      29.009	     10.153       7.167      17.319	
cds4242	     11.537      12.577      24.115	     13.366      15.195      28.561	      9.742      10.278      20.021	
cds4241	     21.356      21.580      42.937	     31.016      31.329      62.345	     17.827      17.827      35.655	
sppA	      8.665       8.507      17.172	     12.719      12.457      25.176	      6.278       6.140      12.418	
cds4240	      1.180       1.416       2.596	      1.996       3.404       5.400	      0.744       1.675       2.419	
cds3156	     18.511      21.186      39.697	     22.095      25.685      47.779	     16.482      19.033      35.516	
cadC	     12.439      12.776      25.215	     16.839      17.406      34.245	     10.737      11.037      21.774	
cadB	      7.214       7.385      14.599	      8.513       8.489      17.002	      7.905       8.213      16.118	
cadA	      3.204       3.098       6.302	      3.640       3.640       7.280	      2.490       2.466       4.956	
yccF	      7.797       7.141      14.938	      8.480       7.321      15.801	      5.745       5.170      10.915	
yccD	     11.390      16.073      27.463	     12.706      20.435      33.141	      8.728      14.938      23.666	
cds2064	     36.982      36.019      73.001	     43.421      42.647      86.067	     24.482      25.067      49.549	
hfQ	    108.259     121.119     229.379	    137.987     163.466     301.453	     84.437      88.925     173.361	
cds2063	     19.722      28.793      48.515	     23.445      34.587      58.032	     14.628      20.804      35.432	
hycI	      1.176       1.245       2.420	      1.101       1.720       2.820	      1.199       1.636       2.835	
spoT	     11.212      19.371      30.583	     12.733      22.781      35.514	      9.873      16.536      26.410	
hycH	      1.189       0.951       2.140	      2.286       1.104       3.390	      1.999       1.250       3.249	
hycG	      0.636       0.509       1.145	      0.380       0.253       0.633	      0.602       0.468       1.070	
hycF	      0.420       0.840       1.260	      0.477       0.477       0.955	      0.568       0.851       1.419	
hycE	      0.590       0.514       1.105	      0.625       0.606       1.232	      0.661       0.541       1.201	
hycD	      0.388       0.353       0.740	      0.421       0.351       0.771	      0.167       0.278       0.445	
hycC	      0.321       0.285       0.606	      0.355       0.319       0.674	      0.337       0.337       0.675	
hycB	      0.214       0.267       0.481	      0.426       0.372       0.798	      0.675       0.590       1.265	
hycA	      0.494       0.353       0.846	      0.421       0.421       0.842	      0.000       0.000       0.000	
cds4239	      0.186       0.558       0.744	      0.814       0.740       1.553	      0.235       0.704       0.938	
cds4238	      3.122       3.800       6.922	      2.430       3.510       5.940	      4.708       5.778      10.486	
cds4237	      7.995       8.380      16.375	      9.720      10.122      19.842	      7.159       7.362      14.521	
cds4236	      3.876       3.914       7.790	      4.519       4.800       9.319	      2.975       3.299       6.273	
cds4235	      1.468       1.529       2.997	      1.547       1.572       3.119	      1.452       1.438       2.890	
cds4234	      1.001       1.232       2.233	      1.111       1.264       2.374	      0.729       1.153       1.882	
cds4233	      3.619       7.053      10.672	      4.892       8.861      13.754	      3.073       5.414       8.487	
cds3149	      1.744       1.901       3.645	      1.891       1.994       3.885	      1.765       1.560       3.325	
cds4232	      8.686       8.066      16.752	     10.491       7.406      17.897	      6.848       5.381      12.229	
cds3148	      4.283       1.478       5.761	      3.540       1.530       5.070	      3.804       1.427       5.231	
ycbL	     18.498      24.279      42.777	     25.750      31.650      57.399	     17.754      20.845      38.599	
ycbC	      8.552       7.546      16.098	     10.633       9.340      19.974	      9.122       7.668      16.790	
ycbB	      5.094       5.570      10.664	      5.926       6.347      12.273	      4.252       4.475       8.727	
cds2051	      4.695       4.206       8.901	      5.449       4.281       9.730	      4.627       5.244       9.871	
hybG	      3.532       7.064      10.596	      3.253       6.896      10.149	      1.856       4.125       5.982	
pmrF	      5.694       6.124      11.818	      8.100       9.186      17.286	      4.071       4.332       8.403	
hybF	      5.524       3.714       9.238	      5.968       5.589      11.558	      4.806       3.454       8.260	
hybE	      3.131       3.930       7.061	      4.240       4.439       8.680	      3.046       3.151       6.197	
pmrD	    132.058      63.504     195.562	    182.593      86.901     269.494	     89.383      43.596     132.979	
hybD	      5.725       9.081      14.806	      7.462      11.323      18.785	      6.329       9.131      15.460	
lpdA	    194.569     195.573     390.141	    250.507     253.479     503.986	    152.066     153.829     305.895	
pmrB	      8.415       7.600      16.015	      9.720       9.690      19.410	      7.324       6.800      14.124	
hybC	      9.787       8.850      18.637	      9.811       8.727      18.539	      8.078       7.385      15.462	
pmrA	     10.906       9.932      20.839	     14.238      13.318      27.557	      9.750       8.138      17.888	
hybB	      2.100       1.298       3.398	      2.418       1.841       4.259	      1.873       1.655       3.529	
hybA	      4.257       4.587       8.844	      5.219       5.285      10.504	      3.434       3.434       6.869	
cds4229	      6.080       3.040       9.120	      7.992       4.536      12.528	      3.766       0.685       4.451	
cds4228	      3.927       4.620       8.547	      2.987       3.677       6.664	      1.093       1.821       2.914	
cds4227	      0.406       0.304       0.710	      0.000       0.101       0.101	      0.480       0.480       0.960	
cds4226	      0.143       0.000       0.143	      0.000       0.142       0.142	      0.676       0.451       1.126	
cds4224	      0.804       0.804       1.609	      0.700       0.600       1.300	      0.159       0.000       0.159	
cds4223	      1.967       1.778       3.745	      1.844       1.957       3.801	      1.014       1.074       2.088	
cds3139	      0.736       1.104       1.840	      1.281       1.647       2.929	      0.871       0.871       1.741	
cds4222	      2.036       2.036       4.072	      2.160       2.430       4.590	      2.354       1.284       3.638	
livM	      1.070       1.249       2.319	      0.913       1.039       1.952	      0.924       1.085       2.009	
cds3138	     10.018       7.078      17.096	     11.277       8.115      19.392	      9.932       7.756      17.688	
ycaM	      2.428       1.924       4.352	      2.620       2.119       4.739	      2.384       2.059       4.443	
cds4221	      1.551       2.298       3.849	      2.229       2.857       5.086	      1.630       2.083       3.714	
cds3137	     10.319      10.947      21.266	     13.388      13.388      26.777	      9.197      11.178      20.374	
cds4220	     12.229      11.361      23.590	     21.850      19.401      41.251	     10.237       9.266      19.503	
livK	      2.846       2.905       5.752	      3.182       2.919       6.100	      3.331       2.961       6.293	
cds3135	      3.496       2.944       6.441	      4.027       3.020       7.047	      2.612       1.451       4.062	
ycaJ	      8.410      10.736      19.146	     10.752      13.693      24.444	      5.847       7.643      13.490	
cds3134	      1.523       1.361       2.885	      1.644       1.386       3.030	      1.124       1.048       2.172	
ycaI	      1.683       1.481       3.164	      1.860       1.559       3.419	      1.701       1.361       3.061	
livH	      1.862       2.214       4.076	      2.412       2.656       5.068	      2.216       3.158       5.374	
livG	      1.060       1.018       2.078	      0.759       0.802       1.561	      1.471       1.204       2.675	
hyb0	     10.799      11.411      22.210	     12.392      12.711      25.103	     11.291      11.704      22.995	
cds2048	      2.436       2.158       4.594	      3.092       2.931       6.023	      1.500       1.244       2.744	
livF	      1.642       1.369       3.011	      1.407       0.998       2.405	      2.014       1.654       3.669	
cds2047	      6.606       8.292      14.898	      8.633      10.241      18.874	      6.372       7.757      14.128	
cds166	     21.673      23.963      45.636	     22.781      25.312      48.093	     17.588      19.996      37.584	
cds165	      7.249       2.946      10.195	      7.639       3.424      11.063	      6.159       3.027       9.186	
hcr	      1.843       1.977       3.820	      1.700       2.467       4.167	      1.532       2.483       4.016	
ycaD	      4.734       4.819       9.553	      6.063       6.204      12.266	      4.738       4.872       9.610	
cds162	     14.357      14.716      29.073	     17.583      17.315      34.899	     12.451      12.592      25.043	
cds2040	      9.986      12.399      22.385	     12.000      15.533      27.533	      9.088      10.568      19.656	
hyaF	      1.748       2.208       3.957	      2.197       2.563       4.759	      1.209       1.499       2.708	
hyaE	      3.725       2.457       6.182	      3.311       2.996       6.306	      3.124       2.999       6.123	
hyaD	      1.765       2.193       3.958	      3.298       2.820       6.118	      1.434       2.277       3.711	
hyaC	      2.011       1.832       3.843	      2.444       1.822       4.267	      2.114       1.268       3.382	
hyaA	      4.632       4.573       9.205	      8.628       8.511      17.139	      4.792       4.885       9.677	
cds4219	      8.401       7.916      16.317	     16.773      16.713      33.486	      7.699       7.604      15.303	
cds4218	     24.528      26.736      51.263	     37.694      41.695      79.390	     19.504      20.935      40.440	
cds4217	      4.117       5.918      10.034	      4.402       6.603      11.005	      3.448       5.152       8.601	
ribH	     12.033       6.985      19.018	     16.647       7.498      24.145	     11.341       6.107      17.447	
cds4216	      4.630       4.630       9.260	      6.292       6.584      12.876	      4.319       4.524       8.843	
cds4215	     14.076      14.647      28.723	     15.138      16.065      31.203	     11.714      12.520      24.234	
ribF	     22.062      20.119      42.181	     25.602      24.464      50.066	     22.480      20.238      42.718	
cds4214	     20.591      19.822      40.413	     24.807      23.630      48.438	     18.753      18.566      37.319	
ribE	      9.792       7.407      17.200	     14.131      11.658      25.788	      7.600       6.560      14.160	
cds4213	      7.195       8.876      16.071	      8.571      10.714      19.285	      5.299       6.386      11.685	
ribD	     14.369      18.912      33.281	     17.022      23.537      40.558	     14.282      18.981      33.263	
ribB	     88.354     124.662     213.017	    108.791     164.475     273.266	     71.464     101.464     172.928	
cds4210	      5.264       4.551       9.816	      5.754       5.318      11.073	      5.101       4.496       9.598	
ribA	     42.493      38.580      81.073	     51.258      48.298      99.556	     34.588      33.023      67.611	
cds3125	      2.271       2.413       4.684	      1.976       2.259       4.235	      1.790       1.902       3.693	
cds3124	      7.214      10.085      17.298	     10.983      14.717      25.700	      6.732       8.937      15.669	
cds159	      2.015       2.015       4.030	      2.332       2.577       4.909	      0.843       1.038       1.881	
cds158	      1.600       1.257       2.857	      1.023       2.501       3.524	      0.180       0.541       0.721	
cds152	      1.227       1.134       2.361	      1.589       1.313       2.901	      1.168       1.241       2.409	
cds151	      2.911       2.672       5.583	      3.850       3.339       7.189	      2.106       2.322       4.429	
cds2031	      1.077       0.967       2.044	      1.312       1.246       2.558	      0.936       0.901       1.837	
cds2030	     14.404      12.346      26.750	     18.987      17.376      36.362	     11.736      10.355      22.090	
scsD	      1.413       1.863       3.277	      1.022       1.662       2.684	      1.013       1.520       2.533	
scsC	      1.253       1.148       2.401	      1.610       1.194       2.804	      1.070       0.658       1.728	
scsB	      0.949       1.070       2.020	      0.858       1.099       1.957	      0.680       0.789       1.470	
scsA	      5.743       5.294      11.037	      6.962       6.605      13.567	      3.962       3.679       7.640	
cds4209	      9.532       8.585      18.117	     10.486       9.167      19.653	      7.266       6.072      13.338	
cds4208	      6.195       5.462      11.657	      6.824       6.891      13.715	      7.457       5.882      13.339	
cds4207	      5.011       7.308      12.319	      7.269       5.608      12.877	      4.609      10.535      15.145	
cds4205	     17.497      15.076      32.573	     22.532      17.870      40.402	     15.765      13.548      29.313	
cds4204	      1.458       0.940       2.398	      1.580       1.032       2.611	      1.073       0.920       1.993	
cds4203	      6.543       5.824      12.368	      9.298       8.511      17.809	      4.422       4.422       8.843	
waaZ	     11.018      10.496      21.514	     16.880      16.680      33.560	      7.292       6.848      14.140	
cds4202	      1.681       1.627       3.308	      2.441       2.229       4.670	      1.767       1.556       3.323	
waaY	      6.291       5.638      11.929	     11.588      10.290      21.878	      4.996       4.409       9.405	
cds4201	      1.117       1.466       2.583	      1.702       2.118       3.820	      0.716       0.991       1.707	
cds4200	      0.421       0.454       0.875	      0.387       0.548       0.935	      0.409       0.562       0.971	
cds3113	      5.876       2.878       8.754	      6.037       2.694       8.731	      3.965       2.669       6.634	
cds2029	      6.842       7.536      14.378	      7.545       7.940      15.485	      4.925       5.003       9.928	
cds2028	      4.154       4.573       8.728	      5.903       6.285      12.189	      3.578       3.633       7.211	
cds2027	      5.938       6.913      12.852	      6.304       7.494      13.797	      4.891       5.590      10.482	
uxuR	     55.971      53.404     109.375	     58.102      54.920     113.022	     53.948      50.498     104.446	
waaQ	      7.301       8.560      15.861	      9.642      10.330      19.972	      5.707       6.451      12.158	
cds2026	      5.429       6.909      12.338	      5.154      12.027      17.182	      4.280       8.171      12.451	
waaP	      6.857       5.837      12.694	     11.003       8.892      19.894	      5.986       5.793      11.778	
cds2025	     15.338      12.753      28.092	     21.657      18.057      39.714	     11.685       9.692      21.377	
cds2024	      4.847       9.888      14.735	      7.039      13.789      20.828	      6.267       8.560      14.827	
rbsR	      6.293       7.923      14.216	      7.686       9.340      17.027	      4.473       5.398       9.871	
cds2023	      3.956       3.868       7.824	      4.241       5.291       9.532	      4.159       4.852       9.011	
cds2022	      2.647       2.737       5.384	      3.225       3.580       6.805	      2.439       2.814       5.253	
argT	     33.821      32.781      66.601	     53.420      52.841     106.261	     26.106      25.319      51.426	
waaL	     20.107      22.278      42.385	     30.400      33.813      64.213	     14.795      16.740      31.535	
cds2021	      2.368       2.660       5.028	      3.552       3.552       7.103	      1.953       2.126       4.079	
argS	     16.418      16.512      32.930	     24.589      24.720      49.309	     12.914      12.884      25.799	
waaK	     10.403      10.971      21.374	     15.606      16.737      32.343	      8.426       8.963      17.389	
argR	     39.212      39.557      78.769	     70.027      69.546     139.573	     36.203      35.549      71.752	
cds140	     11.653       9.959      21.611	     15.134      13.655      28.788	      9.051       7.797      16.847	
cds2020	      2.470       2.614       5.084	      3.543       4.057       7.600	      3.487       3.170       6.658	
waaJ	      5.960       6.444      12.404	     11.313      11.761      23.074	      4.725       4.928       9.652	
ispZ	     23.826      31.607      55.434	     34.020      46.859      80.879	     18.642      24.253      42.895	
waaI	      8.063       7.902      15.965	     12.909      13.260      26.169	      6.230       5.825      12.055	
waaG	      5.356       5.125      10.481	      7.718       7.488      15.206	      5.615       5.159      10.774	
rbsK	     13.905      16.917      30.821	     17.349      21.077      38.427	     11.432      13.309      24.741	
waaF	      9.271      15.649      24.919	     12.811      20.857      33.668	      6.868      10.252      17.120	
hexR	     19.918      18.009      37.926	     23.648      21.339      44.987	     15.408      14.109      29.517	
waaC	     13.145      11.540      24.686	     18.883      16.268      35.151	      9.852       7.806      17.658	
waaB	      7.600       8.113      15.713	     11.610      11.670      23.280	      5.374       6.087      11.461	
argH	     15.518      16.085      31.603	     17.529      18.659      36.188	     17.008      17.568      34.576	
uxuB	     36.929      35.403      72.332	     50.436      46.917      97.353	     32.078      30.649      62.727	
rbsD	     35.054      31.487      66.541	     40.422      36.874      77.296	     30.816      28.860      59.676	
argG	      4.736       4.897       9.633	      6.043       6.204      12.248	      4.662       4.808       9.471	
uxuA	    392.163     383.697     775.860	    414.469     406.977     821.446	    336.030     328.922     664.952	
rbsC	      6.946       3.911      10.858	     10.028       5.501      15.529	      6.327       3.722      10.049	
rbsB	     40.908      38.312      79.220	     50.363      47.672      98.035	     30.090      28.822      58.911	
argE	     13.233      15.382      28.614	     16.565      18.619      35.184	     11.725      13.732      25.457	
argD	      2.246       2.835       5.081	      2.926       4.309       7.235	      1.940       3.163       5.102	
rbsA	      4.304       5.386       9.690	      5.314       6.325      11.639	      3.922       4.502       8.424	
argC	      6.612       8.978      15.589	      5.803       8.511      14.314	      6.388       7.717      14.105	
argB	     10.942       9.805      20.747	     13.311      11.595      24.907	     11.546      11.347      22.893	
argA	      2.592       2.568       5.160	      3.065       3.235       6.300	      1.889       1.812       3.702	
mdfA	      2.615       2.140       4.755	      2.890       2.339       5.229	      2.374       2.041       4.415	
yijP	      6.105       5.241      11.346	      6.633       5.923      12.556	      6.546       5.805      12.351	
yijO	     13.815      13.348      27.163	     16.606      16.297      32.903	     14.297      15.218      29.515	
asr	      3.812       6.353      10.165	      8.847       9.421      18.268	      2.914       4.189       7.103	
cds139	      2.928       2.862       5.791	      2.847       2.945       5.793	      2.801       2.801       5.603	
cds2019	      1.237       1.695       2.932	      2.506       2.916       5.423	      3.034       3.540       6.574	
cds2018	      2.382       2.265       4.648	      4.506       4.545       9.052	      2.894       3.141       6.035	
cds2017	     22.354       4.258      26.612	     30.070       6.988      37.058	     23.834       5.035      28.869	
ispB	     21.279      21.413      42.693	     26.733      27.100      53.833	     20.502      20.555      41.056	
cds2015	      2.862       8.400      11.262	      4.270      15.070      19.341	      2.992       7.015      10.007	
ispA	     15.020      20.774      35.794	     17.244      22.824      40.068	     11.242      16.150      27.392	
cds2013	    169.219     538.772     707.991	    239.968     737.684     977.651	    143.850     425.079     568.929	
yijD	     78.355     113.099     191.455	     95.129     132.028     227.157	     80.750     112.136     192.886	
yijC	     77.232      52.956     130.188	     92.206      62.354     154.560	     76.233      52.895     129.127	
nlp	     11.762      10.405      22.167	     12.037       9.787      21.825	      9.095       7.490      16.585	
asd	     21.803      21.038      42.842	     34.478      33.570      68.048	     17.723      17.723      35.446	
yiiU	    488.318     234.116     722.433	    584.408     264.597     849.005	    442.768     210.577     653.344	
yiiR	      8.959       5.467      14.426	      9.667       5.513      15.180	      8.261       4.909      13.169	
yiiQ	      8.675       6.820      15.495	     10.094       7.164      17.258	      8.173       6.194      14.367	
yiiP	     25.092      16.595      41.687	     32.978      22.792      55.769	     24.735      17.177      41.913	
yiiM	      2.163      45.939      48.102	      4.260      52.149      56.409	      2.660      34.990      37.650	
yiiL	     24.610      18.510      43.120	     27.771      22.011      49.782	     23.642      17.772      41.414	
yiiG	      4.556       5.946      10.503	      5.032       6.798      11.830	      5.411       7.044      12.455	
yiiF	     52.718      13.474      66.192	     67.662      19.648      87.310	     63.324      15.057      78.381	
cds2002	     15.429      26.001      41.430	     16.200      40.357      56.557	      7.659      18.021      25.680	
cds2001	      0.924       6.930       7.854	      1.264       7.238       8.502	      0.182       3.096       3.278	
yiiD	     42.344      33.428      75.772	     50.432      41.563      91.995	     43.215      36.212      79.427	
hrpB	      7.083       5.896      12.978	      8.319       7.191      15.510	      5.763       4.837      10.600	
hrpA	      4.073       3.972       8.045	      5.371       5.230      10.601	      3.500       3.513       7.014	
yihZ	     33.093      17.104      50.198	     37.726      19.603      57.328	     32.247      15.244      47.491	
yihX	     37.458      36.536      73.994	     52.109      48.653     100.763	     33.299      32.015      65.313	
yihW	     51.938      57.853     109.791	     54.684      62.059     116.743	     51.552      56.535     108.086	
yihV	     13.908       3.668      17.575	     17.265       5.165      22.430	     13.570       3.321      16.891	
yihU	      1.561       1.380       2.941	      1.734       1.625       3.359	      1.374       1.374       2.748	
yihT	      1.853       1.593       3.446	      2.138       1.696       3.833	      1.402       1.227       2.629	
spiC	    124.946      55.560     180.507	    183.598      82.180     265.778	    102.052      40.928     142.979	
yihR	      4.326       4.066       8.392	      5.723       5.292      11.015	      3.820       3.138       6.957	
yihQ	      4.221       4.301       8.523	      4.867       4.788       9.655	      5.219       5.396      10.615	
spiA	     98.394     105.479     203.873	    136.191     146.991     283.182	     78.690      84.878     163.569	
yihP	      2.214       2.237       4.451	      3.139       3.210       6.349	      2.043       2.080       4.122	
yihI	     27.333      21.778      49.111	     28.444      23.672      52.116	     21.898      17.817      39.715	
ruvC	      5.366       7.301      12.667	      5.648       7.634      13.283	      5.412       7.183      12.594	
yihG	      3.082       3.046       6.128	      3.743       3.529       7.271	      1.808       1.865       3.673	
ruvB	     14.820      16.689      31.509	     16.825      19.549      36.373	     13.158      14.885      28.042	
ruvA	     27.570      19.001      46.570	     29.276      21.229      50.505	     23.666      17.372      41.038	
yihE	     42.671      49.304      91.976	     66.966      75.205     142.171	     36.322      42.566      78.888	
yihD	    195.556     144.767     340.323	    225.237     154.678     379.915	    178.809     134.678     313.487	
yigZ	      8.050      13.506      21.556	     10.484      18.175      28.659	      5.512       8.852      14.364	
yigP	     16.179      18.544      34.723	     17.216      19.996      37.211	     12.204      13.137      25.341	
apt	      2.714       3.836       6.550	      4.578       6.280      10.859	      2.698       3.163       5.862	
yigN	      7.603       6.624      14.226	      9.238       8.287      17.524	      7.142       6.604      13.746	
yigM	      1.918       1.918       3.836	      2.916       2.412       5.328	      1.027       0.970       1.997	
yigL	      4.880       5.571      10.451	      6.027       7.119      13.146	      4.296       5.322       9.618	
yigI	     33.199      29.441      62.640	     44.792      37.384      82.176	     26.339      22.388      48.726	
apl	    270.634     137.261     407.895	    328.129     162.531     490.661	    299.495     139.285     438.781	
lipB	      7.182       8.426      15.608	      6.975       8.044      15.019	      5.172       5.974      11.146	
yigF	      2.308       2.052       4.360	      2.466       2.466       4.932	      2.022       2.157       4.179	
lipA	     13.218      13.420      26.638	     16.066      16.535      32.601	     10.953      11.431      22.384	
cds101	      7.135       5.274      12.409	      7.714       5.940      13.654	      5.625       4.158       9.783	
cds100	     21.850      20.772      42.622	     31.730      30.175      61.905	     18.522      17.885      36.407	
yigC	     25.327      22.838      48.165	     31.940      29.289      61.228	     17.988      16.182      34.171	
yigB	      2.544       2.998       5.542	      4.067       5.242       9.309	      2.221       2.364       4.584	
yigA	     10.858      16.148      27.006	     10.525      16.657      27.183	      8.052      13.058      21.110	
tus	     17.407       6.970      24.377	     22.262       9.197      31.459	     13.806       6.296      20.102	
arcC	      0.510       0.364       0.874	      0.906       0.399       1.305	      0.747       0.460       1.206	
arcB	      9.575       9.366      18.941	     13.753      13.157      26.910	      7.604       7.318      14.922	
arcA	    151.733     202.250     353.983	    194.985     263.625     458.610	    138.966     183.665     322.631	
