#BAM: /home/student5/project/mapping/mapping_2020_02_24/time_0h/ERR405224.sorted.bam
#BAM: /home/student5/project/mapping/mapping_2020_02_24/time_0h/ERR405225.sorted.bam
#BAM: /home/student5/project/mapping/mapping_2020_02_24/time_0h/ERR405226.sorted.bam

    	ERR405224.sorted.bam	ERR405225.sorted.bam	ERR405226.sorted.bam	
    	  Sense Antisense  Total	  Sense Antisense  Total	  Sense Antisense  Total	
cds2198	    230     250     480	    210     216     426	    128     135     263	
cds2197	    695     688    1383	    563     557    1120	    370     367     737	
glnH	   4057    5584    9641	   3917    5373    9290	   1919    2587    4506	
glnG	    322     305     627	    284     277     561	    152     144     296	
glnE	    511     570    1081	    496     510    1006	    285     282     567	
cds2192	    146     151     297	    125     126     251	     91      82     173	
asnS	   5832    5784   11616	   5634    5597   11231	   3014    3007    6021	
glnD	   1048    1117    2165	    951    1056    2007	    586     620    1206	
glnB	   1253    1075    2328	   1208    1037    2245	    599     544    1143	
glnA	    653     535    1188	    699     548    1247	    349     261     610	
rpsV	    740    1123    1863	    630    1027    1657	    355     577     932	
ydeZ	    284     252     536	    268     231     499	    123     104     227	
rpsU	   1413    1099    2512	   1416    1108    2524	    675     525    1200	
uspB	    332     370     702	    280     325     605	    155     184     339	
rpsT	    818    2093    2911	    861    2168    3029	    344     829    1173	
rpsS	   1544    1189    2733	   1514    1137    2651	    647     491    1138	
uspA	  12757   15243   28000	  10587   12565   23152	   7672    9045   16717	
rpsR	    357     334     691	    366     314     680	    159     160     319	
ydeW	    281     268     549	    271     264     535	    136     130     266	
rpsQ	    570    2337    2907	    510    2083    2593	    270    1118    1388	
ydeV	   2282    2219    4501	   2249    2160    4409	   1133    1088    2221	
rpsP	   2275    1434    3709	   2356    1400    3756	    979     652    1631	
rpsO	   2432    2556    4988	   2260    2337    4597	   1187    1252    2439	
rpsN	   3811    4511    8322	   3740    4417    8157	   1795    2171    3966	
rpsM	   4357    4322    8679	   4545    4680    9225	   1902    1843    3745	
rpsL	   1298    1051    2349	   1320    1057    2377	    598     501    1099	
glmU	   3661    3311    6972	   3381    3079    6460	   1737    1591    3328	
rpsK	   3948    4283    8231	   4078    4342    8420	   1818    1860    3678	
rpsJ	   1646    1497    3143	   1675    1468    3143	    756     645    1401	
glmS	   2786    3145    5931	   2570    2843    5413	   1302    1462    2764	
asnC	    175     154     329	    140     128     268	     68      67     135	
rpsI	    634    1839    2473	    638    1828    2466	    340     895    1235	
asnB	    675     689    1364	    644     647    1291	    335     348     683	
rpsH	   2775    3469    6244	   2727    3317    6044	   1318    1648    2966	
asnA	    792     725    1517	    629     580    1209	    391     358     749	
cds3278	    482     450     932	    395     394     789	    204     183     387	
rpsG	   1237    1286    2523	   1214    1270    2484	    524     543    1067	
cds3277	    376     383     759	    378     391     769	    183     173     356	
rpsF	    654     478    1132	    656     451    1107	    352     257     609	
cds3276	     56      63     119	     54      63     117	     19      22      41	
rpsE	   2852    2550    5402	   2720    2508    5228	   1223    1118    2341	
cds3275	     33      33      66	     29      33      62	     20      19      39	
rpsD	   5375    5751   11126	   5493    5724   11217	   2366    2575    4941	
cds3274	     97     117     214	     86      91     177	     48      53     101	
rpsC	   2960    3079    6039	   2877    2955    5832	   1265    1380    2645	
rpsB	  10468   10644   21112	  10311   10652   20963	   5077    5184   10261	
rpsA	  10066   10136   20202	   9505    9546   19051	   4785    4861    9646	
