#BAM: /home/student5/project/mapping/mapping_2020_02_24/time_0h/ERR405224.sorted.bam
#BAM: /home/student5/project/mapping/mapping_2020_02_24/time_0h/ERR405225.sorted.bam
#BAM: /home/student5/project/mapping/mapping_2020_02_24/time_0h/ERR405226.sorted.bam

    	ERR405224.sorted.bam	ERR405225.sorted.bam	ERR405226.sorted.bam	
    	  Sense Antisense  Total	  Sense Antisense  Total	  Sense Antisense  Total	
livG	     25      29      54	     17      17      34	      9       7      16	
hyb0	    663     686    1349	    655     676    1331	    333     359     692	
cds2048	    177     187     364	    153     164     317	     97      98     195	
livF	     62      52     114	     44      33      77	     32      23      55	
cds2047	    439     587    1026	    384     536     920	    177     252     429	
cds166	   1293    1405    2698	   1099    1172    2271	    680     762    1442	
cds165	    513     176     689	    419     142     561	    277      80     357	
hcr	    113     109     222	     83      87     170	     48      49      97	
ycaD	    252     256     508	    236     240     476	    124     122     246	
cds162	    422     421     843	    315     320     635	    219     219     438	
cds2040	    240     385     625	    252     408     660	    108     187     295	
hyaF	    146     159     305	    143     155     298	     56      75     131	
hyaE	    111      68     179	    119      90     209	     67      50     117	
hyaD	    122     109     231	    118      98     216	     51      49     100	
hyaC	     98      79     177	    103      91     194	     48      36      84	
hyaA	    435     417     852	    452     420     872	    208     201     409	
cds4219	    673     640    1313	    773     673    1446	    265     263     528	
cds4218	   1319    1457    2776	   1588    1798    3386	    561     609    1170	
cds4217	    525     551    1076	    434     433     867	    281     305     586	
ribH	    334     161     495	    333     162     495	    214      95     309	
cds4216	    240     275     515	    241     241     482	    107     120     227	
cds4215	    480     568    1048	    526     588    1114	    284     348     632	
ribF	    805     753    1558	    716     672    1388	    360     332     692	
cds4214	   1205    1217    2422	   1061    1043    2104	    615     581    1196	
ribE	    355     261     616	    410     270     680	    165     101     266	
cds4213	    598     941    1539	    536     895    1431	    225     369     594	
ribD	    922    1454    2376	    837    1339    2176	    469     747    1216	
ribB	   2263    3830    6093	   2262    3621    5883	   1236    2016    3252	
cds4210	    270     238     508	    223     183     406	     91      85     176	
ribA	   1994    1812    3806	   1728    1553    3281	    993     942    1935	
cds3125	     18      19      37	     21      23      44	      8       9      17	
cds3124	    445     684    1129	    415     622    1037	    196     297     493	
cds159	     81      81     162	    104     102     206	     54      55     109	
cds158	     28      17      45	     20      18      38	     12      10      22	
cds152	     94      91     185	    111      98     209	     52      43      95	
cds151	    193     136     329	    155     127     282	    100      78     178	
cds2031	    103      96     199	     93      82     175	     47      39      86	
cds2030	    454     385     839	    459     404     863	    217     193     410	
scsD	     20      31      51	     21      35      56	     20      23      43	
scsC	     37      34      71	     32      18      50	     24      21      45	
scsB	     41      70     111	     42      72     114	     34      44      78	
scsA	    271     265     536	    251     242     493	    127     124     251	
cds4209	    320     290     610	    298     269     567	    174     161     335	
cds4208	    106     113     219	     98      93     191	     47      50      97	
cds4207	     45      30      75	     33      45      78	     11      19      30	
cds4205	    737     616    1353	    648     539    1187	    383     330     713	
cds4204	     71      39     110	     70      39     109	     40      20      60	
cds4203	    193     178     371	    188     170     358	     85      78     163	
waaZ	    590     598    1188	    696     685    1381	    273     278     551	
cds4202	    238     224     462	    168     160     328	    138     132     270	
waaY	    333     311     644	    439     404     843	    132     127     259	
cds4201	     83      97     180	     55      68     123	     43      56      99	
cds4200	     24      29      53	     17      16      33	     12      14      26	
cds3113	    405     260     665	    374     232     606	    190      96     286	
cds2029	    205     243     448	    145     178     323	     72      90     162	
cds2028	    205     188     393	    155     145     300	     83      84     167	
cds2027	    290     305     595	    307     316     623	    164     164     328	
uxuR	   3265    3138    6403	   2514    2378    4892	   1881    1846    3727	
waaQ	    468     533    1001	    574     615    1189	    195     222     417	
cds2026	     40     149     189	     41     144     185	     20      60      80	
waaP	    390     370     760	    361     377     738	    138     128     266	
cds2025	    589     519    1108	    618     540    1158	    259     235     494	
cds2024	    157     253     410	    113     221     334	     64     102     166	
rbsR	    504     641    1145	    426     550     976	    223     273     496	
cds2023	    131     195     326	     95     145     240	     62      88     150	
cds2022	    112     106     218	    110     111     221	     44      48      92	
argT	   2090    2131    4221	   1985    2035    4020	   1077    1088    2165	
waaL	   1114    1211    2325	   1122    1189    2311	    495     525    1020	
cds2021	     89     100     189	     89     107     196	     39      41      80	
argS	   1896    1907    3803	   2179    2160    4339	    823     829    1652	
waaK	    611     586    1197	    739     740    1479	    248     256     504	
argR	   1755    1753    3508	   2000    1996    3996	    722     725    1447	
cds140	    719     607    1326	    682     556    1238	    391     331     722	
cds2020	    111     122     233	    112     121     233	     49      53     102	
waaJ	    379     396     775	    448     469     917	    139     131     270	
ispZ	    826    1342    2168	    752    1201    1953	    362     590     952	
waaI	    430     447     877	    527     511    1038	    157     171     328	
waaG	    437     418     855	    529     520    1049	    174     170     344	
rbsK	    950    1467    2417	    930    1408    2338	    448     724    1172	
waaF	    879    1274    2153	    768    1116    1884	    373     630    1003	
hexR	   1900    1669    3569	   1685    1464    3149	   1037     898    1935	
waaC	    641     617    1258	    659     675    1334	    279     282     561	
waaB	    506     558    1064	    583     623    1206	    219     230     449	
argH	    455     483     938	    431     455     886	    237     244     481	
uxuB	   1873    2232    4105	   1554    1816    3370	   1005    1165    2170	
rbsD	   2379    2331    4710	   1887    1830    3717	   1474    1441    2915	
argG	    576     588    1164	    531     539    1070	    302     308     610	
uxuA	  21379   20916   42295	  17037   16529   33566	  13024   12767   25791	
rbsC	    566     222     788	    471     167     638	    277     127     404	
rbsB	   2936    2523    5459	   2431    2001    4432	   1431    1213    2644	
argE	    672     788    1460	    604     737    1341	    279     341     620	
argD	    133     171     304	    118     187     305	     53      73     126	
rbsA	    360     452     812	    328     426     754	    227     279     506	
argC	    144     285     429	    122     263     385	     71     144     215	
argB	    215     196     411	    211     186     397	     94      89     183	
argA	    227     198     425	    180     159     339	    112      96     208	
mdfA	    160     126     286	    147     124     271	     64      52     116	
yijP	    290     255     545	    303     282     585	    134     120     254	
yijO	    320     314     634	    257     247     504	    107      99     206	
asr	     98     107     205	    102     142     244	     64      81     145	
cds139	    187     176     363	    147     148     295	     80      75     155	
cds2019	     48      59     107	     53      59     112	     28      35      63	
cds2018	     97      97     194	    106      99     205	     42      43      85	
cds2017	    372      34     406	    350      37     387	    174      19     193	
ispB	   1676    1709    3385	   1530    1566    3096	    809     832    1641	
cds2015	    197     542     739	    172     490     662	     83     193     276	
ispA	    997    1476    2473	    971    1311    2282	    514     791    1305	
cds2013	   4807   11997   16804	   4464   11660   16124	   2333    6037    8370	
yijD	   1116    1451    2567	   1031    1291    2322	    565     649    1214	
yijC	   2048    1444    3492	   1709    1173    2882	    961     689    1650	
nlp	    126     116     242	     96      81     177	     68      56     124	
asd	   1255    1141    2396	   1229    1104    2333	    546     507    1053	
yiiU	   6472    2857    9329	   5434    2319    7753	   3516    1640    5156	
yiiR	    231     139     370	    182     113     295	    115      73     188	
yiiQ	    375     280     655	    351     263     614	    172     120     292	
yiiP	   1063     782    1845	   1003     740    1743	    489     352     841	
yiiM	    114    1229    1343	    127    1095    1222	     49     608     657	
yiiL	    294     190     484	    278     192     470	    141      86     227	
yiiG	    142     174     316	    109     131     240	     53      67     120	
yiiF	    890     278    1168	    717     230     947	    473     116     589	
cds2002	    148     167     315	    142     185     327	     66      85     151	
cds2001	     27     175     202	     22     162     184	     13      81      94	
yiiD	   1667    1248    2915	   1500    1123    2623	    765     560    1325	
hrpB	    723     574    1297	    670     506    1176	    367     304     671	
hrpA	   1350    1333    2683	   1214    1203    2417	    687     679    1366	
yihZ	    508     314     822	    465     296     761	    224     151     375	
yihX	   1051     968    2019	   1095    1025    2120	    563     515    1078	
yihW	   1565    1917    3482	   1372    1613    2985	    800     945    1745	
yihV	    629     143     772	    528     135     663	    297      54     351	
yihU	     65      59     124	     61      61     122	     39      35      74	
yihT	     74      70     144	     54      48     102	     28      28      56	
spiC	   3790    2167    5957	   3336    1887    5223	   1693     993    2686	
yihR	    149     143     292	    152     135     287	     67      53     120	
yihQ	    218     217     435	    195     198     393	     84      87     171	
spiA	   8230    8945   17175	   7870    8431   16301	   3844    4193    8037	
yihP	    158     171     329	    149     153     302	     65      67     132	
yihI	    848     723    1571	    947     820    1767	    404     354     758	
ruvC	    125     185     310	    132     193     325	     60      82     142	
yihG	    157     138     295	    115      97     212	     62      62     124	
ruvB	    525     588    1113	    469     499     968	    253     291     544	
ruvA	    593     429    1022	    515     359     874	    265     188     453	
yihE	   3256    3822    7078	   3272    3563    6835	   1413    1696    3109	
yihD	   3276    2397    5673	   2765    1988    4753	   1788    1393    3181	
yigZ	    352     565     917	    314     545     859	    151     259     410	
yigP	    566     697    1263	    527     627    1154	    261     317     578	
apt	     98     176     274	     75     159     234	     37      61      98	
yigN	    512     443     955	    431     370     801	    221     190     411	
yigM	     90      67     157	     68      67     135	     41      36      77	
yigL	    202     285     487	    214     278     492	    105     131     236	
yigI	   1237    1087    2324	   1207    1063    2270	    565     495    1060	
apl	   1739     887    2626	   1499     841    2340	    562     310     872	
lipB	    431     477     908	    440     489     929	    198     220     418	
yigF	     32      18      50	     22      19      41	     17       9      26	
lipA	    960     991    1951	    963     977    1940	    443     449     892	
cds101	     75      57     132	     72      38     110	     44      23      67	
cds100	   4260    4091    8351	   3931    3734    7665	   2179    2100    4279	
yigC	   2436    2239    4675	   2333    2113    4446	   1137    1038    2175	
yigB	    111     140     251	    107     119     226	     48      55     103	
yigA	    351     649    1000	    308     576     884	    168     331     499	
tus	   1072     517    1589	    977     439    1416	    545     268     813	
arcC	     28       6      34	     37      16      53	     17      10      27	
arcB	   1436    1346    2782	   1358    1282    2640	    722     682    1404	
arcA	   7707   11213   18920	   7070   10258   17328	   3655    5284    8939	
yifL	   1162     526    1688	   1016     462    1478	    646     280     926	
yifK	    500     431     931	    503     446     949	    244     206     450	
yifE	   1588    1456    3044	   1793    1696    3489	    749     689    1438	
ttk	    207     212     419	    184     206     390	    101      89     190	
yieN	    880     929    1809	    794     831    1625	    400     425     825	
yieG	    204     206     410	    210     213     423	    124     120     244	
yieE	    133     121     254	    115     107     222	     53      52     105	
cds2686	   1297    1157    2454	   1097     968    2065	    659     593    1252	
tsx	    903     879    1782	    962     937    1899	    398     378     776	
cds2682	    837     856    1693	    684     691    1375	    395     401     796	
cds1598	    833     574    1407	    777     521    1298	    413     321     734	
cds1597	   2872    2653    5525	   2536    2308    4844	   1417    1319    2736	
cds1596	   9563    9482   19045	   7121    7049   14170	   5099    5057   10156	
cds1595	    777     686    1463	    726     641    1367	    329     276     605	
cds1593	    284     273     557	    280     265     545	    119     117     236	
yidZ	    387     388     775	    327     338     665	    183     184     367	
cds1592	    121     117     238	    124     126     250	     47      51      98	
yidY	    163      70     233	    149      57     206	     94      42     136	
cds1591	    234     217     451	    225     219     444	     97      89     186	
cds1590	    237     192     429	    235     201     436	    101      81     182	
speG	   1180    1851    3031	   1080    1636    2716	    666     998    1664	
araE	    226     236     462	    158     171     329	    109     114     223	
araD	    117     115     232	    117     117     234	     67      67     134	
speE	    318     293     611	    346     317     663	    154     130     284	
araC	    555     580    1135	    548     557    1105	    248     254     502	
speD	    395     239     634	    384     257     641	    174     106     280	
araB	     68      70     138	     87      89     176	     48      50      98	
yidR	    437     229     666	    453     224     677	    211     107     318	
speB	    476     449     925	    468     459     927	    194     189     383	
tsf	   2459    2851    5310	   2289    2587    4876	   1017    1177    2194	
araA	    114      94     208	    103      80     183	     53      45      98	
speA	    880     706    1586	    841     683    1524	    418     330     748	
pstS	   1473    1420    2893	   1233    1196    2429	    672     651    1323	
cds3766	     30     324     354	     36     347     383	     13     154     167	
cds3765	    553     419     972	    573     413     986	    297     228     525	
amn	   1564    1602    3166	   1324    1338    2662	    793     809    1602	
yidG	    100      92     192	     85      65     150	     36      34      70	
cds2678	    196     152     348	    169     121     290	    100      81     181	
yidF	    140     162     302	    115     133     248	     57      63     120	
yidE	    352     321     673	    327     288     615	    179     162     341	
yidC	    422     426     848	    442     449     891	    177     181     358	
cds2674	   1520    1495    3015	   1338    1333    2671	    808     778    1586	
cds2673	     66      75     141	     34      45      79	     18      25      43	
yidA	    757     757    1514	    679     689    1368	    396     393     789	
cds2672	    111      82     193	     86      61     147	     44      36      80	
nfo	    381     388     769	    340     336     676	    195     201     396	
aegA	     83      76     159	     97      93     190	     50      48      98	
pstC	    357     396     753	    309     327     636	    141     157     298	
pstB	    335     303     638	    335     282     617	    140     124     264	
nfi	    305     356     661	    226     253     479	    136     167     303	
cds1582	    327     243     570	    313     252     565	    155     129     284	
pstA	    147     155     302	    160     168     328	     88      87     175	
cds1581	   1137    1274    2411	   1063    1217    2280	    609     637    1246	
alr	    154     201     355	    145     207     352	     74      88     162	
yicN	    203     135     338	    192     123     315	    108      78     186	
yicL	    537     462     999	    436     371     807	    222     186     408	
yicJ	     20      18      38	     34      27      61	     20      18      38	
yicH	   1187    1065    2252	   1100     983    2083	    638     577    1215	
cds2666	    830     711    1541	    712     613    1325	    432     371     803	
cds2663	   1610    1471    3081	   1414    1295    2709	    725     651    1376	
cds2662	    885    1072    1957	    771     927    1698	    406     541     947	
cds2661	    140      79     219	    151      83     234	     74      39     113	
cds1577	    195     292     487	    237     297     534	     99     134     233	
cds1575	    296     363     659	    231     305     536	    141     172     313	
uraA	     29      27      56	     25      29      54	     10       9      19	
cds1574	    297     314     611	    257     314     571	    135     152     287	
nei	   1080    1158    2238	    942    1018    1960	    555     584    1139	
pssA	   1785    1880    3665	   1765    1833    3598	    728     767    1495	
hepA	    290     298     588	    284     297     581	    134     135     269	
yibL	    384     490     874	    354     434     788	    217     262     479	
yibK	     78      41     119	     62      40     102	     33      26      59	
cds2656	    274     246     520	    256     237     493	    127     113     240	
tpx	  12021   12020   24041	  11407   11337   22744	   5858    5858   11716	
cds2655	    240     219     459	    182     159     341	     95      78     173	
cds2654	     70      77     147	     76      72     148	     30      27      57	
cds2653	    160     149     309	    169     165     334	     62      68     130	
cds773	      8       5      13	      2       4       6	      6       3       9	
cds2652	    120     124     244	     92     106     198	     44      39      83	
cds1568	    429     528     957	    357     450     807	    204     248     452	
cds2651	     86      98     184	     91      92     183	     42      49      91	
cds1567	    875     691    1566	    787     656    1443	    423     329     752	
cds771	     63      35      98	     65      40     105	     29      19      48	
cds2650	    100     100     200	    100     105     205	     56      54     110	
spak	     26      32      58	     21      21      42	      9       7      16	
ndk	    907     693    1600	   1018     756    1774	    383     300     683	
ndh	    478     474     952	    353     350     703	    258     256     514	
yiaS	     58      36      94	     49      35      84	     22      16      38	
yiaR	     22      16      38	     16      15      31	     12       9      21	
yiaQ	      6       6      12	      9      10      19	      3       3       6	
yiaN	     56      54     110	     63      57     120	     25      30      55	
yiaM	     26      38      64	     32      48      80	     18      20      38	
yiaL	    418     470     888	    361     398     759	    202     233     435	
yiaJ	    230     194     424	    228     191     419	    118      98     216	
cds769	   4304    4916    9220	   3820    4434    8254	   2109    2438    4547	
cds3732	    295     292     587	    283     271     554	    145     130     275	
yiaF	    587     486    1073	    550     482    1032	    297     245     542	
yiaE	    614     526    1140	    561     508    1069	    309     260     569	
spaT	    136     127     263	    128     131     259	     69      56     125	
yiaD	    127     120     247	    131     122     253	     69      64     133	
spaS	    157     126     283	    141     118     259	     68      60     128	
yiaC	    439     574    1013	    443     607    1050	    230     294     524	
spaR	     71      94     165	     77      90     167	     35      51      86	
yiaB	     28       8      36	     28      15      43	      9       6      15	
cds2643	    412     378     790	    408     371     779	    182     156     338	
spaQ	     45      38      83	     39      23      62	     22      15      37	
cds1559	    383     337     720	    346     303     649	    211     192     403	
spaP	     88     100     188	     90     103     193	     32      35      67	
cds1558	    554     353     907	    586     348     934	    282     164     446	
spaO	     97     136     233	    103     111     214	     34      37      71	
cds761	    317     586     903	    267     461     728	    178     303     481	
cds2640	    389     341     730	    362     327     689	    191     161     352	
spaN	    211     168     379	    172     136     308	     58      47     105	
cds1556	   1065    1342    2407	   1026    1234    2260	    524     637    1161	
cds760	   1392    1248    2640	   1066     944    2010	    704     635    1339	
spaM	     34      43      77	     22      22      44	     10      11      21	
cds1555	    694     725    1419	    720     740    1460	    356     391     747	
spaI	    130     116     246	    124     115     239	     71      70     141	
sitD	    364     337     701	    302     284     586	    162     154     316	
sitC	     90     100     190	     90     100     190	     51      47      98	
cds1550	    251     314     565	    220     267     487	    130     159     289	
sitB	    197     237     434	    180     241     421	     97     137     234	
sitA	    775     696    1471	    778     684    1462	    375     344     719	
ais	    373     274     647	    339     229     568	    132      97     229	
air	    256     259     515	    218     229     447	    121     125     246	
cds3726	    225     242     467	    205     208     413	     97      97     194	
cds3722	    438     335     773	    337     259     596	    219     159     378	
hemY	    468     615    1083	    402     503     905	    203     259     462	
cds3720	    581     158     739	    509     152     661	    277      80     357	
hemX	    876     983    1859	    749     858    1607	    425     483     908	
cds2635	   2190    3187    5377	   1909    2600    4509	   1314    1614    2928	
cds2634	   3595     842    4437	   2935     755    3690	   1765     389    2154	
cds2633	      7       6      13	     10       5      15	     11       9      20	
cds2631	    490     361     851	    437     344     781	    256     194     450	
cds2630	     31      22      53	     26      18      44	     14      10      24	
pspF	    307     301     608	    204     210     414	    193     198     391	
cds1545	    609     402    1011	    548     341     889	    284     185     469	
pspE	   1512    1831    3343	   1151    1366    2517	    669     808    1477	
cds1544	    564     514    1078	    532     444     976	    248     216     464	
pspD	   1094    1394    2488	    725     992    1717	    465     681    1146	
pspC	   2018    2153    4171	   1453    1568    3021	   1008    1084    2092	
hemN	   1407    1400    2807	   1271    1316    2587	    529     551    1080	
cds1542	   1388     843    2231	   1405     861    2266	    640     413    1053	
pspB	   1562    1852    3414	   1148    1368    2516	    794     932    1726	
hemM	    333     404     737	    316     364     680	    181     210     391	
pspA	   5820    4940   10760	   4228    3539    7767	   3005    2558    5563	
hemL	    682     639    1321	    652     601    1253	    348     314     662	
hemK	     88     121     209	     73      94     167	     49      67     116	
hemH	    400     389     789	    378     354     732	    222     226     448	
hemG	    167     140     307	    131     117     248	     71      58     129	
rhtC	    273     269     542	    254     248     502	    132     124     256	
hemF	    193     319     512	    147     250     397	     77     120     197	
hemE	    893     823    1716	    712     682    1394	    445     420     865	
rhtB	    145      83     228	    129      77     206	     85      47     132	
hemD	    457     448     905	    393     402     795	    249     252     501	
hemC	   1059    1142    2201	    858     927    1785	    527     555    1082	
cds3719	   4886    5167   10053	   4507    4752    9259	   2489    2630    5119	
hemB	   1506    1506    3012	   1358    1351    2709	    779     772    1551	
hemA	   3226    3156    6382	   2823    2732    5555	   1644    1611    3255	
cds2628	     21      24      45	     20      14      34	      9       7      16	
cds2627	     62      64     126	     58      59     117	     47      47      94	
cds2626	     81      84     165	     79      72     151	     51      51     102	
cds2625	     61      66     127	     45      47      92	     38      40      78	
cds2624	     13       3      16	      7       2       9	      4       2       6	
cds2622	     26     193     219	     28     176     204	     10      69      79	
cds2621	      8       8      16	     15      13      28	      9       7      16	
cds1537	    772     652    1424	    754     635    1389	    354     318     672	
cds2620	     85     104     189	     68      66     134	     30      33      63	
cds1536	    283     222     505	    231     186     417	    151     116     267	
cds1535	    269     216     485	    240     218     458	    133     100     233	
cds1534	     49      66     115	     67      80     147	     25      24      49	
cds1533	    101     129     230	    112     137     249	     44      47      91	
cds1532	    185     183     368	    176     157     333	     76      83     159	
ligT	    504     282     786	    388     215     603	    231     158     389	
tmk	    352     515     867	    326     480     806	    173     218     391	
sirA	   4368    3645    8013	   3965    3305    7270	   2154    1746    3900	
helD	   1105     858    1963	    946     722    1668	    569     441    1010	
agp	   1381    1326    2707	   1376    1324    2700	    642     617    1259	
gst	   8482   14175   22657	   7553   13318   20871	   4056    6536   10592	
yojN	   2306    1393    3699	   2122    1265    3387	   1152     628    1780	
cds2619	   2607    4976    7583	   2113    3936    6049	   1254    2713    3967	
ilvY	   1230     297    1527	    960     242    1202	    530     128     658	
gsp	    716     688    1404	    652     612    1264	    398     366     764	
cds2618	   4000    2507    6507	   3081    1876    4957	   2265    1523    3788	
yojL	     23      14      37	     31      23      54	     11       7      18	
cds3701	    185     185     370	    148     159     307	     97      99     196	
ligA	    361     337     698	    378     349     727	    176     164     340	
cds3700	    746     737    1483	    724     705    1429	    368     369     737	
yojI	    402     226     628	    382     239     621	    166      78     244	
gsk	    263     215     478	    207     149     356	    115      92     207	
yojF	     14      12      26	     17      16      33	      9      11      20	
pmbA	   1542     896    2438	   1436     825    2261	    794     485    1279	
cds1525	    545     736    1281	    471     641    1112	    249     365     614	
eutS	     22      18      40	     11      10      21	      8       6      14	
cds1524	    293     297     590	    300     274     574	    141     143     284	
ilvN	     94      54     148	     87      44     131	     38      27      65	
eutQ	     20      26      46	     24      25      49	     13       9      22	
ilvM	     36      12      48	     60      25      85	     15       8      23	
cds1522	    818     636    1454	    823     635    1458	    423     345     768	
eutP	     19      19      38	     19       8      27	     10       8      18	
ilvL	      9       9      18	     16       7      23	      6       3       9	
dapF	   1216    2089    3305	   1130    1843    2973	    628    1094    1722	
cds1521	   2078     909    2987	   1964     848    2812	    985     451    1436	
cds1520	   1332     749    2081	   1260     713    1973	    613     346     959	
dapE	    559     743    1302	    582     696    1278	    268     321     589	
eutN	     14      14      28	     15      15      30	      4       2       6	
dapD	   2836    2684    5520	   2641    2457    5098	   1354    1284    2638	
eutL	     38      30      68	     42      32      74	     10       8      18	
ilvI	    283     250     533	    232     188     420	    137     109     246	
rbfA	    323     297     620	    329     264     593	    139     113     252	
dapB	    229     235     464	    205     206     411	    109     109     218	
eutK	     25      29      54	     16      23      39	      7       8      15	
ilvH	    293     341     634	    283     315     598	    185     200     385	
ilvG	    199     202     401	    202     196     398	     87      82     169	
dapA	   3207    2815    6022	   3279    2867    6146	   1478    1287    2765	
eutJ	      4       5       9	      3       4       7	      4       4       8	
ilvE	    197     179     376	    177     181     358	     83      70     153	
eutH	     25      21      46	     19      18      37	      9       7      16	
ilvD	    404     419     823	    335     352     687	    162     180     342	
eutG	      8       8      16	      5       4       9	      2       2       4	
ilvC	    441     391     832	    404     360     764	    190     169     359	
ilvB	    169     381     550	    146     349     495	     95     203     298	
eutE	     16      18      34	      9      13      22	      9      11      20	
ilvA	    136     125     261	    111      90     201	     40      38      78	
eutD	     15      16      31	     16      19      35	      8      10      18	
eutC	      6       7      13	     16      19      35	      3       5       8	
eutB	     56      61     117	     74      78     152	     37      41      78	
eutA	     31      29      60	     24      24      48	     13      13      26	
tdcG	    147     154     301	    122     127     249	     66      70     136	
cds729	    128     107     235	     91      75     166	     61      61     122	
cds728	     17      21      38	     12      17      29	      6       8      14	
tdcE	    144     149     293	    143     140     283	     64      66     130	
tdcD	     39      37      76	     35      44      79	     23      23      46	
tdcB	    203     180     383	    156     146     302	     81      73     154	
tdcA	    107     109     216	     78      81     159	     39      41      80	
cds1514	   1639    1293    2932	   1579    1139    2718	    826     648    1474	
sipF	     27      36      63	     13      22      35	     19      14      33	
cds1513	    922    1422    2344	    904    1412    2316	    391     646    1037	
sipD	    233     241     474	    198     198     396	     89      92     181	
cds1511	     41      39      80	     35      33      68	     20      14      34	
sipC	    354     355     709	    282     299     581	    147     152     299	
sipB	    434     443     877	    387     391     778	    172     172     344	
sipA	    254     264     518	    229     239     468	    126     135     261	
fixX	      7       6      13	      8       2      10	      4       5       9	
xapR	    147     192     339	    141     202     343	     72      95     167	
aes	    191      82     273	    177      74     251	     86      28     114	
zwf	   1279    1347    2626	   1153    1202    2355	    619     664    1283	
yohN	    479     581    1060	    457     564    1021	    217     278     495	
mppA	   1680    1562    3242	   1527    1364    2891	    853     749    1602	
yohK	    312     333     645	    287     306     593	    130     143     273	
yohJ	    312     335     647	    234     274     508	    130     164     294	
yohI	     46      40      86	     34      26      60	     28      26      54	
cds1509	    880    1621    2501	    876    1497    2373	    386     720    1106	
yohG	    108      98     206	     69      76     145	     40      42      82	
cds1508	    288     279     567	    320     278     598	    133     125     258	
xapB	    125      97     222	    135     110     245	     58      46     104	
yohF	     81      56     137	     63      40     103	     35      17      52	
oxyR	   3962    2704    6666	   3369    2196    5565	   1894    1293    3187	
xapA	     15      15      30	      9      13      22	      4       6      10	
cds1506	     23      24      47	     32      34      66	     14      15      29	
yohD	    123      86     209	    103      79     182	     70      55     125	
fixC	     36      33      69	     34      33      67	     11       7      18	
yohC	    248     234     482	    190     179     369	    160     147     307	
cds1504	    198     179     377	    175     153     328	     76      68     144	
fixB	     12      13      25	     20      22      42	     11      13      24	
cds1503	    158     113     271	    135      94     229	     61      48     109	
fixA	     19      18      37	     13      13      26	     10       9      19	
damX	    535     586    1121	    541     577    1118	    258     273     531	
gpt	    495     476     971	    551     523    1074	    243     231     474	
sinR	    199     182     381	    156     153     309	     78      81     159	
adk	    335     313     648	    304     281     585	    141     122     263	
adi	    476     451     927	    389     381     770	    195     189     384	
adh	   6403    6607   13010	   6149    6324   12473	   3251    3313    6564	
cds704	    165     164     329	    142     167     309	    103      96     199	
cds702	    233     243     476	    190     199     389	     97     104     201	
add	   2486    2233    4719	   2290    2058    4348	   1049     938    1987	
gph	    516     254     770	    483     254     737	    303     120     423	
cstA	    544     430     974	    525     446     971	    210     171     381	
sinI	     76      90     166	     70      75     145	     40      43      83	
ada	     45      46      91	     57      53     110	     31      34      65	
zur	   1454    1188    2642	   1280    1037    2317	    662     549    1211	
tig	   1434    1665    3099	   1574    1788    3362	    691     787    1478	
acs	   5349    5249   10598	   4872    4720    9592	   2723    2663    5386	
gor	   1338    1453    2791	   1341    1428    2769	    649     679    1328	
acT	    314     211     525	    303     201     504	    197     145     342	
gdhA	    625     613    1238	    611     614    1225	    287     277     564	
soxS	   2294    2080    4374	   1827    1679    3506	   1237    1138    2375	
soxR	    464     424     888	    378     344     722	    233     203     436	
tgt	   1064     347    1411	    993     320    1313	    458     156     614	
csrA	    557     741    1298	    372     571     943	    250     315     565	
abc	    625     612    1237	    541     518    1059	    313     303     616	
psiF	     97     151     248	     69     119     188	     50      59     109	
gnd	   2605    2833    5438	   2470    2700    5170	   1236    1295    2531	
aat	    120     162     282	    100     134     234	     59      80     139	
aas	    305     315     620	    309     289     598	    120     125     245	
gmk	   2706    2066    4772	   2418    1829    4247	   1275     976    2251	
ybjZ	   1814    2113    3927	   1639    1884    3523	    793     923    1716	
aac	    149     212     361	    155     219     374	     59     103     162	
ybjY	   1941    2042    3983	   1816    1998    3814	    869     925    1794	
yodD	     76      78     154	     76      81     157	     43      35      78	
ybjX	  11940   12335   24275	  12285   12628   24913	   5162    5302   10464	
gmd	    132     149     281	    101     114     215	     57      57     114	
ybjU	    464     412     876	    407     360     767	    213     192     405	
rhlE	    126     121     247	     99      96     195	     55      54     109	
rhlB	   2231    2112    4343	   2121    2016    4137	    936     888    1824	
luxS	   2549    2637    5186	   3012    3068    6080	   1279    1327    2606	
ybjG	    163     183     346	    150     174     324	     73      82     155	
katG	    509     570    1079	    523     561    1084	    228     247     475	
ybjF	    327     361     688	    281     308     589	    139     147     286	
katE	    354     301     655	    309     257     566	    174     163     337	
ybjC	     97      75     172	     88      57     145	     47      37      84	
cspH	     25      17      42	     25      21      46	     15       8      23	
cspE	  28371   28553   56924	  23253   23423   46676	  13678   13684   27362	
glk	   3051    2042    5093	   2674    1848    4522	   1488     985    2473	
cspD	  21210   21492   42702	  21820   22046   43866	   9893   10046   19939	
cspC	   4889   28953   33842	   4693   26903   31596	   2493   13773   16266	
lolA	   1135    1143    2278	   1092    1109    2201	    610     620    1230	
cspB	   4059   11152   15211	   3366    9050   12416	   1291    3370    4661	
cspA	   1600   15860   17460	   1321   13671   14992	    479    5102    5581	
ybiY	     77      78     155	     70      60     130	     36      34      70	
ybiW	    503     328     831	    428     274     702	    244     143     387	
uxaC	   2028    2123    4151	   1714    1735    3449	   1078    1094    2172	
ybiT	    792     805    1597	    785     795    1580	    391     387     778	
ybiS	    444     487     931	    383     431     814	    179     203     382	
